origin_h3,destination_h3,time_of_day,od_flow
8860145125fffff,8860145a33fffff,13,1
8860145125fffff,8860145a41fffff,23,1
8860145125fffff,8860145a45fffff,10,1
8860145125fffff,8860145a45fffff,16,1
8860145125fffff,8860145a45fffff,19,1
8860145125fffff,8860145a49fffff,21,1
8860145125fffff,8860145a55fffff,8,1
8860145125fffff,8860145a59fffff,12,1
8860145125fffff,8860145a5dfffff,0,1
8860145125fffff,8860145a5dfffff,14,1
8860145125fffff,8860145a5dfffff,20,1
8860145125fffff,8860145a5dfffff,21,1
8860145125fffff,8860145a5dfffff,23,1
8860145125fffff,8860145a63fffff,6,2
8860145125fffff,8860145a63fffff,8,1
8860145125fffff,8860145a63fffff,9,1
8860145125fffff,8860145a63fffff,18,2
8860145125fffff,8860145a6dfffff,1,1
8860145125fffff,8860145a6dfffff,18,2
8860145125fffff,8860145aa3fffff,13,1
8860145125fffff,8860145aadfffff,12,1
8860145125fffff,8860145aadfffff,15,1
8860145125fffff,8860145acbfffff,21,1
8860145125fffff,8860145aedfffff,11,1
8860145125fffff,8860145aedfffff,12,1
8860145125fffff,8860145b01fffff,0,1
8860145125fffff,8860145b01fffff,7,1
8860145125fffff,8860145b01fffff,15,1
8860145125fffff,8860145b03fffff,18,1
8860145125fffff,8860145b05fffff,8,1
8860145125fffff,8860145b05fffff,13,1
8860145125fffff,8860145b0bfffff,3,1
8860145125fffff,8860145b0bfffff,7,1
8860145125fffff,8860145b0bfffff,10,1
8860145125fffff,8860145b11fffff,22,1
8860145125fffff,8860145b17fffff,2,1
8860145125fffff,8860145b17fffff,6,2
8860145125fffff,8860145b1dfffff,3,1
8860145125fffff,8860145b1dfffff,15,1
8860145125fffff,8860145b1dfffff,17,1
8860145125fffff,8860145b1dfffff,20,1
8860145125fffff,8860145b21fffff,13,1
8860145125fffff,8860145b33fffff,9,1
8860145125fffff,8860145b33fffff,23,1
8860145125fffff,8860145b39fffff,2,1
8860145125fffff,8860145b39fffff,7,1
8860145125fffff,8860145b41fffff,18,1
8860145125fffff,8860145b55fffff,6,1
8860145125fffff,8860145b55fffff,16,1
8860145125fffff,8860145b59fffff,7,1
8860145125fffff,8860145b59fffff,23,1
8860145125fffff,8860145b5bfffff,14,3
8860145125fffff,8860145b5bfffff,16,2
8860145125fffff,8860145b5bfffff,23,1
8860145125fffff,8860145b65fffff,16,1
8860145125fffff,8860145b65fffff,17,1
8860145125fffff,8860145b6bfffff,23,1
8860145125fffff,8860169647fffff,4,1
8860145125fffff,8860169647fffff,17,1
8860145125fffff,8860169647fffff,19,1
8860145125fffff,886016965dfffff,3,1
8860145125fffff,886016965dfffff,4,1
8860145125fffff,88601696cbfffff,2,1
8860145125fffff,88601696cbfffff,6,1
8860145125fffff,88601696cbfffff,10,1
8860145125fffff,8861892401fffff,12,1
8860145125fffff,8861892407fffff,4,1
8860145125fffff,8861892407fffff,23,1
8860145125fffff,8861892413fffff,10,1
8860145125fffff,8861892413fffff,20,1
8860145125fffff,8861892425fffff,7,1
8860145125fffff,8861892429fffff,9,1
8860145125fffff,8861892437fffff,10,1
8860145125fffff,886189243bfffff,14,1
8860145125fffff,886189243bfffff,16,1
8860145125fffff,886189243bfffff,20,1
8860145125fffff,886189243dfffff,23,1
8860145125fffff,8861892485fffff,1,1
8860145125fffff,886189248bfffff,6,1
8860145125fffff,88618924a3fffff,1,1
8860145125fffff,88618924a3fffff,7,1
8860145125fffff,88618924a3fffff,15,1
8860145125fffff,88618924a3fffff,18,1
8860145125fffff,88618924b5fffff,21,1
8860145125fffff,88618924bbfffff,6,1
8860145125fffff,88618924bdfffff,5,1
8860145125fffff,88618924c7fffff,5,1
8860145125fffff,88618924c7fffff,10,1
8860145125fffff,88618924c7fffff,13,1
8860145125fffff,88618924edfffff,2,1
8860145125fffff,88618924edfffff,19,1
8860145125fffff,8861892513fffff,15,1
8860145125fffff,8861892513fffff,20,2
8860145125fffff,8861892513fffff,21,1
8860145125fffff,8861892515fffff,18,1
8860145125fffff,8861892529fffff,22,1
8860145125fffff,8861892535fffff,1,1
8860145125fffff,8861892535fffff,2,1
8860145125fffff,8861892535fffff,9,1
8860145125fffff,8861892537fffff,6,1
8860145125fffff,886189255bfffff,8,1
8860145125fffff,886189256bfffff,9,1
8860145125fffff,886189256bfffff,14,1
8860145125fffff,8861892587fffff,7,1
8860145125fffff,8861892587fffff,20,1
8860145125fffff,8861892589fffff,14,1
8860145125fffff,886189258bfffff,7,1
8860145125fffff,8861892593fffff,2,1
8860145125fffff,8861892593fffff,10,1
8860145125fffff,88618925a1fffff,14,1
8860145125fffff,88618925abfffff,0,1
8860145125fffff,88618925abfffff,18,2
8860145125fffff,88618925adfffff,6,1
8860145125fffff,88618925adfffff,8,1
8860145125fffff,88618925b3fffff,15,1
8860145125fffff,88618925b3fffff,21,1
8860145125fffff,88618925b5fffff,12,1
8860145125fffff,88618925cbfffff,16,1
8860145125fffff,88618925cdfffff,0,1
8860145125fffff,88618925d5fffff,11,1
8860145125fffff,88618925d5fffff,19,1
8860145125fffff,88618925d7fffff,0,1
8860145125fffff,88618925d7fffff,2,1
8860145125fffff,88618925d7fffff,20,1
8860145125fffff,88618925d7fffff,22,1
8860145125fffff,88618925dbfffff,14,1
8860145125fffff,88618925e3fffff,0,1
8860145125fffff,88618925e9fffff,1,1
8860145125fffff,88618925ebfffff,0,1
8860145125fffff,88618925ebfffff,19,1
8860145125fffff,8861892c19fffff,8,1
8860145125fffff,8861892c19fffff,19,1
8860145125fffff,8861892c83fffff,19,1
8860145125fffff,8861892c83fffff,22,1
8860145125fffff,8861892c8bfffff,7,1
8860145125fffff,8861892c8bfffff,13,1
8860145125fffff,8861892c91fffff,20,1
8860145125fffff,8861892c93fffff,10,1
8860145125fffff,8861892ca5fffff,5,1
8860145125fffff,8861892ca5fffff,15,1
8860145125fffff,8861892ca5fffff,17,1
8860145125fffff,8861892ca5fffff,21,1
8860145125fffff,8861892cabfffff,1,1
8860145125fffff,8861892cc7fffff,4,1
8860145125fffff,8861892cc7fffff,14,1
8860145125fffff,8861892cc9fffff,15,1
8860145125fffff,8861892cd1fffff,2,1
8860145125fffff,8861892cd1fffff,9,1
8860145125fffff,8861892cd5fffff,22,1
8860145125fffff,8861892cd7fffff,6,1
8860145125fffff,8861892cd9fffff,5,1
8860145125fffff,8861892cd9fffff,7,1
8860145125fffff,8861892cd9fffff,8,1
8860145125fffff,8861892cdbfffff,10,1
8860145125fffff,8861892cdbfffff,23,1
8860145125fffff,8861892ce1fffff,20,1
8860145125fffff,8861892e07fffff,6,1
8860145125fffff,8861892e07fffff,7,1
8860145125fffff,8861892e19fffff,3,1
8860145125fffff,8861892e1dfffff,17,1
8860145125fffff,8861892e31fffff,7,1
8860145125fffff,8861892e31fffff,9,1
8860145125fffff,8861892e31fffff,23,1
8860145125fffff,8861892e53fffff,1,1
8860145125fffff,8861892e53fffff,22,1
8860145125fffff,8861892e53fffff,23,1
8860145125fffff,8861892e91fffff,3,1
8860145125fffff,8861892e91fffff,16,1
8860145125fffff,8861892e97fffff,0,1
8860145125fffff,8861892e97fffff,2,1
8860145125fffff,8861892e97fffff,5,1
8860145125fffff,8861892e97fffff,7,1
8860145125fffff,8861892e97fffff,8,1
8860145125fffff,8861892e97fffff,17,1
8860145125fffff,8861892e97fffff,20,1
8860145125fffff,8861892e99fffff,4,1
8860145125fffff,8861892e99fffff,6,1
8860145125fffff,8861892ea1fffff,5,1
8860145125fffff,8861892ea1fffff,13,1
8860145125fffff,8861892eabfffff,14,1
8860145125fffff,8861892eb1fffff,4,1
8860145125fffff,8861892eb1fffff,17,1
8860145125fffff,8861892eb1fffff,22,1
8860145125fffff,8861892eb5fffff,3,1
8860145125fffff,8861892eb5fffff,11,1
8860145125fffff,8861892eb5fffff,23,1
8860145125fffff,8861892eb7fffff,13,1
8860145125fffff,8861892ebdfffff,6,1
8860145125fffff,8861892ec5fffff,8,1
8860145125fffff,8861892ec5fffff,12,1
8860145125fffff,8861892ed1fffff,0,1
8860145125fffff,8861892ed1fffff,6,1
8860145125fffff,8861892ed1fffff,7,1
8860145125fffff,8861892ed1fffff,10,2
8860145125fffff,8861892ed1fffff,16,1
8860145125fffff,8861892ed1fffff,17,1
8860145125fffff,8861892ee1fffff,10,1
8860145161fffff,8860145125fffff,5,1
8860145161fffff,8860145809fffff,5,1
8860145161fffff,8860145811fffff,15,1
8860145161fffff,886014581dfffff,19,1
8860145161fffff,886014581dfffff,21,1
8860145161fffff,8860145827fffff,20,1
8860145161fffff,8860145845fffff,23,1
8860145161fffff,8860145847fffff,1,1
8860145161fffff,8860145847fffff,10,1
8860145161fffff,8860145847fffff,19,1
8860145161fffff,8860145847fffff,22,1
8860145161fffff,886014584bfffff,14,1
8860145161fffff,886014584dfffff,7,1
8860145161fffff,8860145865fffff,6,1
8860145161fffff,8860145867fffff,17,1
8860145161fffff,8860145869fffff,3,1
8860145161fffff,8860145869fffff,6,1
8860145161fffff,8860145869fffff,14,1
8860145161fffff,8860145869fffff,22,1
8860145161fffff,886014586bfffff,15,1
8860145161fffff,886014586bfffff,23,1
8860145161fffff,88601458edfffff,9,1
8860145161fffff,88601458edfffff,11,1
8860145161fffff,8860145903fffff,1,1
8860145161fffff,8860145903fffff,9,1
8860145161fffff,8860145903fffff,11,1
8860145161fffff,8860145903fffff,19,1
8860145161fffff,8860145923fffff,12,1
8860145161fffff,8860145925fffff,9,1
8860145161fffff,8860145925fffff,14,1
8860145161fffff,8860145925fffff,17,1
8860145161fffff,886014593bfffff,9,1
8860145161fffff,886014593bfffff,15,1
8860145161fffff,8860145941fffff,11,1
8860145161fffff,8860145943fffff,7,1
8860145161fffff,8860145943fffff,12,1
8860145161fffff,8860145943fffff,23,1
8860145161fffff,886014594bfffff,22,1
8860145161fffff,8860145953fffff,8,1
8860145161fffff,8860145957fffff,9,1
8860145161fffff,8860145957fffff,20,1
8860145161fffff,8860145963fffff,12,1
8860145161fffff,88601459c5fffff,5,1
8860145161fffff,88601459c9fffff,4,1
8860145161fffff,88601459c9fffff,22,1
8860145161fffff,88601459d5fffff,2,1
8860145161fffff,88601459d5fffff,12,1
8860145161fffff,88601459d5fffff,14,1
8860145161fffff,88601459d5fffff,20,1
8860145161fffff,88601459d5fffff,22,1
8860145161fffff,88601459e9fffff,3,1
8860145161fffff,88601459e9fffff,16,1
8860145161fffff,88601459e9fffff,20,1
8860145161fffff,8860145a03fffff,1,1
8860145161fffff,8860145a03fffff,10,1
8860145161fffff,8860145a03fffff,11,1
8860145161fffff,8860145a03fffff,20,1
8860145161fffff,8860145a03fffff,21,1
8860145161fffff,8860145a09fffff,16,1
8860145161fffff,8860145a0dfffff,9,1
8860145161fffff,8860145a0dfffff,21,1
8860145161fffff,8860145a17fffff,9,1
8860145161fffff,8860145a17fffff,19,1
8860145161fffff,8860145a27fffff,9,1
8860145161fffff,8860145a29fffff,5,1
8860145161fffff,8860145a29fffff,19,1
8860145161fffff,8860145a2bfffff,6,1
8860145161fffff,8860145a2bfffff,16,1
8860145161fffff,8860145a31fffff,16,1
8860145161fffff,8860145a33fffff,2,1
8860145161fffff,8860145a41fffff,5,1
8860145161fffff,8860145a41fffff,16,1
8860145161fffff,8860145a41fffff,22,1
8860145161fffff,8860145a49fffff,12,1
8860145161fffff,8860145a55fffff,6,1
8860145161fffff,8860145a55fffff,17,1
8860145161fffff,8860145a55fffff,22,1
8860145161fffff,8860145a59fffff,0,1
8860145161fffff,8860145a59fffff,7,1
8860145161fffff,8860145a59fffff,16,1
8860145161fffff,8860145a63fffff,0,1
8860145161fffff,8860145a63fffff,13,1
8860145161fffff,8860145a67fffff,21,1
8860145161fffff,8860145a6bfffff,16,1
8860145161fffff,8860145a6dfffff,15,1
8860145161fffff,8860145a8dfffff,20,1
8860145161fffff,8860145a8dfffff,23,1
8860145161fffff,8860145aa3fffff,19,1
8860145161fffff,8860145aadfffff,13,1
8860145161fffff,8860145acbfffff,5,1
8860145161fffff,8860145acbfffff,8,1
8860145161fffff,8860145aedfffff,19,1
8860145161fffff,8860145b01fffff,18,1
8860145161fffff,8860145b01fffff,22,1
8860145161fffff,8860145b03fffff,15,1
8860145161fffff,8860145b05fffff,22,1
8860145161fffff,8860145b0bfffff,5,1
8860145161fffff,8860145b0bfffff,11,1
8860145161fffff,8860145b0bfffff,19,1
8860145161fffff,8860145b11fffff,4,1
8860145161fffff,8860145b17fffff,1,2
8860145161fffff,8860145b17fffff,9,1
8860145161fffff,8860145b1dfffff,2,1
8860145161fffff,8860145b1dfffff,3,1
8860145161fffff,8860145b1dfffff,5,1
8860145161fffff,8860145b1dfffff,18,1
8860145161fffff,8860145b1dfffff,21,1
8860145161fffff,8860145b1dfffff,22,1
8860145161fffff,8860145b21fffff,17,1
8860145161fffff,8860145b33fffff,1,1
8860145161fffff,8860145b39fffff,5,1
8860145161fffff,8860145b39fffff,7,1
8860145161fffff,8860145b51fffff,10,1
8860145161fffff,8860145b53fffff,9,1
8860145161fffff,8860145b55fffff,12,1
8860145161fffff,8860145b5bfffff,16,1
8860145161fffff,8860145b5bfffff,22,1
8860145161fffff,8860145b5dfffff,13,1
8860145161fffff,8860145b5dfffff,15,1
8860145161fffff,8860145b5dfffff,16,1
8860145161fffff,88601696cbfffff,6,1
8860145161fffff,88601696cbfffff,8,1
8860145161fffff,8861892401fffff,17,1
8860145161fffff,8861892413fffff,1,1
8860145161fffff,8861892413fffff,14,2
8860145161fffff,8861892413fffff,18,1
8860145161fffff,8861892429fffff,3,1
8860145161fffff,8861892485fffff,16,1
8860145161fffff,886189248bfffff,5,1
8860145161fffff,886189248bfffff,11,1
8860145161fffff,88618924a3fffff,0,1
8860145161fffff,88618924a5fffff,8,1
8860145161fffff,88618924abfffff,3,1
8860145161fffff,88618924abfffff,5,1
8860145161fffff,88618924adfffff,6,1
8860145161fffff,88618924adfffff,8,1
8860145161fffff,88618924b5fffff,16,1
8860145161fffff,88618924bbfffff,8,1
8860145161fffff,88618924bbfffff,23,2
8860145161fffff,88618924bdfffff,23,1
8860145161fffff,88618924c7fffff,5,1
8860145161fffff,88618924c7fffff,19,1
8860145161fffff,88618924edfffff,0,1
8860145161fffff,88618924edfffff,2,1
8860145161fffff,8861892513fffff,2,1
8860145161fffff,8861892513fffff,21,1
8860145161fffff,8861892515fffff,1,1
8860145161fffff,8861892515fffff,13,2
8860145161fffff,8861892515fffff,15,1
8860145161fffff,8861892515fffff,21,1
8860145161fffff,8861892529fffff,18,1
8860145161fffff,8861892535fffff,7,1
8860145161fffff,8861892535fffff,11,1
8860145161fffff,8861892535fffff,21,1
8860145161fffff,886189255bfffff,1,1
8860145161fffff,8861892581fffff,15,1
8860145161fffff,8861892581fffff,22,1
8860145161fffff,8861892589fffff,1,1
8860145161fffff,8861892589fffff,15,1
8860145161fffff,886189258bfffff,6,1
8860145161fffff,8861892595fffff,9,1
8860145161fffff,8861892595fffff,12,1
8860145161fffff,8861892595fffff,19,1
8860145161fffff,88618925a1fffff,0,1
8860145161fffff,88618925abfffff,5,1
8860145161fffff,88618925adfffff,14,1
8860145161fffff,88618925adfffff,17,1
8860145161fffff,88618925adfffff,18,1
8860145161fffff,88618925cbfffff,21,1
8860145161fffff,88618925d1fffff,2,1
8860145161fffff,88618925d1fffff,3,1
8860145161fffff,88618925d7fffff,3,1
8860145161fffff,88618925e3fffff,19,1
8860145161fffff,88618925ebfffff,22,1
8860145161fffff,8861892c03fffff,5,1
8860145161fffff,8861892c19fffff,4,1
8860145161fffff,8861892c83fffff,4,1
8860145161fffff,8861892c8bfffff,6,1
8860145161fffff,8861892c91fffff,12,1
8860145161fffff,8861892c91fffff,13,1
8860145161fffff,8861892c91fffff,16,1
8860145161fffff,8861892c91fffff,21,1
8860145161fffff,8861892ca5fffff,3,1
8860145161fffff,8861892ca5fffff,5,1
8860145161fffff,8861892ca5fffff,6,1
8860145161fffff,8861892cabfffff,1,1
8860145161fffff,8861892cc9fffff,8,1
8860145161fffff,8861892cc9fffff,9,1
8860145161fffff,8861892cd1fffff,7,1
8860145161fffff,8861892cd1fffff,16,1
8860145161fffff,8861892cd3fffff,6,1
8860145161fffff,8861892cd3fffff,21,1
8860145161fffff,8861892cd5fffff,13,1
8860145161fffff,8861892cd7fffff,17,1
8860145161fffff,8861892cd9fffff,11,1
8860145161fffff,8861892cd9fffff,16,1
8860145161fffff,8861892cdbfffff,10,1
8860145161fffff,8861892cddfffff,14,1
8860145161fffff,8861892e07fffff,21,1
8860145161fffff,8861892e1dfffff,9,1
8860145161fffff,8861892e33fffff,6,1
8860145161fffff,8861892e87fffff,17,1
8860145161fffff,8861892e91fffff,19,1
8860145161fffff,8861892e91fffff,21,1
8860145161fffff,8861892e91fffff,23,1
8860145161fffff,8861892e99fffff,7,1
8860145161fffff,8861892ea1fffff,18,1
8860145161fffff,8861892eabfffff,11,1
8860145161fffff,8861892eb1fffff,3,1
8860145161fffff,8861892eb5fffff,15,1
8860145161fffff,8861892eb7fffff,11,1
8860145161fffff,8861892ec3fffff,7,1
8860145161fffff,8861892ec3fffff,9,1
8860145161fffff,8861892ec5fffff,13,1
8860145161fffff,8861892ec5fffff,18,1
8860145161fffff,8861892ecdfffff,5,1
8860145161fffff,8861892ed1fffff,2,1
8860145807fffff,8860145125fffff,16,1
8860145807fffff,8860145161fffff,8,1
8860145807fffff,8860145809fffff,15,1
8860145807fffff,8860145811fffff,9,1
8860145807fffff,886014581dfffff,9,1
8860145807fffff,886014581dfffff,19,1
8860145807fffff,886014581dfffff,22,1
8860145807fffff,8860145827fffff,9,1
8860145807fffff,8860145827fffff,18,1
8860145807fffff,8860145827fffff,23,1
8860145807fffff,8860145829fffff,5,1
8860145807fffff,8860145829fffff,8,1
8860145807fffff,886014582bfffff,17,1
8860145807fffff,8860145843fffff,19,1
8860145807fffff,8860145845fffff,3,1
8860145807fffff,8860145845fffff,5,1
8860145807fffff,8860145845fffff,7,1
8860145807fffff,8860145847fffff,0,1
8860145807fffff,8860145847fffff,6,1
8860145807fffff,8860145847fffff,15,1
8860145807fffff,886014584bfffff,0,1
8860145807fffff,886014584bfffff,9,1
8860145807fffff,886014584bfffff,13,1
8860145807fffff,886014584bfffff,19,1
8860145807fffff,886014584dfffff,6,1
8860145807fffff,886014585dfffff,0,1
8860145807fffff,886014585dfffff,15,1
8860145807fffff,8860145863fffff,12,1
8860145807fffff,8860145869fffff,2,1
8860145807fffff,8860145869fffff,5,1
8860145807fffff,8860145869fffff,10,1
8860145807fffff,886014586bfffff,4,1
8860145807fffff,886014586bfffff,10,1
8860145807fffff,886014586bfffff,12,1
8860145807fffff,886014586bfffff,22,1
8860145807fffff,88601458edfffff,2,2
8860145807fffff,88601458edfffff,20,1
8860145807fffff,8860145903fffff,11,1
8860145807fffff,8860145923fffff,1,1
8860145807fffff,8860145923fffff,12,1
8860145807fffff,886014593bfffff,1,1
8860145807fffff,886014593bfffff,9,1
8860145807fffff,8860145941fffff,15,1
8860145807fffff,8860145943fffff,8,1
8860145807fffff,8860145959fffff,3,1
8860145807fffff,8860145963fffff,21,1
8860145807fffff,886014596dfffff,19,1
8860145807fffff,88601459c5fffff,8,1
8860145807fffff,88601459c9fffff,0,1
8860145807fffff,88601459d5fffff,23,1
8860145807fffff,88601459e3fffff,18,1
8860145807fffff,88601459e9fffff,20,1
8860145807fffff,8860145a03fffff,7,1
8860145807fffff,8860145a03fffff,8,1
8860145807fffff,8860145a03fffff,11,1
8860145807fffff,8860145a05fffff,5,1
8860145807fffff,8860145a09fffff,4,1
8860145807fffff,8860145a09fffff,11,1
8860145807fffff,8860145a09fffff,12,1
8860145807fffff,8860145a0dfffff,2,1
8860145807fffff,8860145a0dfffff,3,1
8860145807fffff,8860145a0dfffff,6,1
8860145807fffff,8860145a0dfffff,11,1
8860145807fffff,8860145a0dfffff,21,1
8860145807fffff,8860145a21fffff,5,1
8860145807fffff,8860145a23fffff,1,1
8860145807fffff,8860145a23fffff,3,1
8860145807fffff,8860145a23fffff,15,1
8860145807fffff,8860145a23fffff,18,1
8860145807fffff,8860145a25fffff,0,1
8860145807fffff,8860145a25fffff,5,1
8860145807fffff,8860145a27fffff,2,1
8860145807fffff,8860145a27fffff,5,2
8860145807fffff,8860145a27fffff,10,1
8860145807fffff,8860145a27fffff,11,1
8860145807fffff,8860145a27fffff,17,1
8860145807fffff,8860145a27fffff,22,1
8860145807fffff,8860145a29fffff,16,1
8860145807fffff,8860145a29fffff,19,1
8860145807fffff,8860145a29fffff,23,1
8860145807fffff,8860145a2dfffff,4,1
8860145807fffff,8860145a31fffff,1,1
8860145807fffff,8860145a31fffff,11,1
8860145807fffff,8860145a31fffff,13,1
8860145807fffff,8860145a31fffff,16,1
8860145807fffff,8860145a31fffff,17,1
8860145807fffff,8860145a33fffff,9,1
8860145807fffff,8860145a33fffff,12,1
8860145807fffff,8860145a3dfffff,5,1
8860145807fffff,8860145a41fffff,1,1
8860145807fffff,8860145a41fffff,5,1
8860145807fffff,8860145a45fffff,6,1
8860145807fffff,8860145a49fffff,4,1
8860145807fffff,8860145a49fffff,18,2
8860145807fffff,8860145a59fffff,8,1
8860145807fffff,8860145a59fffff,17,1
8860145807fffff,8860145a5dfffff,3,1
8860145807fffff,8860145a63fffff,1,1
8860145807fffff,8860145a63fffff,14,1
8860145807fffff,8860145a63fffff,19,1
8860145807fffff,8860145a6bfffff,15,1
8860145807fffff,8860145a6dfffff,4,1
8860145807fffff,8860145a6dfffff,8,2
8860145807fffff,8860145a6dfffff,12,1
8860145807fffff,8860145a6dfffff,14,1
8860145807fffff,8860145a8dfffff,10,1
8860145807fffff,8860145aa3fffff,1,1
8860145807fffff,8860145aa3fffff,3,1
8860145807fffff,8860145aa3fffff,5,1
8860145807fffff,8860145aa3fffff,8,1
8860145807fffff,8860145aadfffff,12,1
8860145807fffff,8860145acbfffff,7,1
8860145807fffff,8860145acbfffff,17,1
8860145807fffff,8860145aedfffff,0,1
8860145807fffff,8860145aedfffff,9,1
8860145807fffff,8860145b03fffff,19,1
8860145807fffff,8860145b05fffff,5,1
8860145807fffff,8860145b05fffff,12,1
8860145807fffff,8860145b05fffff,20,1
8860145807fffff,8860145b0bfffff,2,1
8860145807fffff,8860145b0bfffff,3,1
8860145807fffff,8860145b0bfffff,20,1
8860145807fffff,8860145b0bfffff,22,1
8860145807fffff,8860145b11fffff,1,1
8860145807fffff,8860145b11fffff,3,1
8860145807fffff,8860145b17fffff,19,1
8860145807fffff,8860145b17fffff,21,1
8860145807fffff,8860145b1bfffff,9,1
8860145807fffff,8860145b1dfffff,3,1
8860145807fffff,8860145b1dfffff,9,1
8860145807fffff,8860145b1dfffff,11,1
8860145807fffff,8860145b1dfffff,14,1
8860145807fffff,8860145b1dfffff,15,1
8860145807fffff,8860145b1dfffff,17,1
8860145807fffff,8860145b1dfffff,19,2
8860145807fffff,8860145b1dfffff,22,1
8860145807fffff,8860145b21fffff,21,1
8860145807fffff,8860145b33fffff,8,1
8860145807fffff,8860145b39fffff,1,1
8860145807fffff,8860145b39fffff,10,1
8860145807fffff,8860145b39fffff,14,1
8860145807fffff,8860145b39fffff,19,1
8860145807fffff,8860145b3dfffff,10,1
8860145807fffff,8860145b3dfffff,20,1
8860145807fffff,8860145b3dfffff,22,1
8860145807fffff,8860145b41fffff,9,1
8860145807fffff,8860145b55fffff,4,1
8860145807fffff,8860145b59fffff,3,1
8860145807fffff,8860145b59fffff,17,1
8860145807fffff,8860145b59fffff,23,1
8860145807fffff,8860145b5bfffff,8,1
8860145807fffff,8860145b5bfffff,10,1
8860145807fffff,8860145b5bfffff,16,1
8860145807fffff,8860145b5bfffff,19,1
8860145807fffff,8860145b5dfffff,2,1
8860145807fffff,8860145b5dfffff,22,1
8860145807fffff,8860145b65fffff,13,1
8860145807fffff,8860145b65fffff,20,1
8860145807fffff,8860145b6bfffff,9,1
8860145807fffff,8860145b6bfffff,18,1
8860145807fffff,886016965dfffff,1,1
8860145807fffff,886016965dfffff,11,1
8860145807fffff,886016965dfffff,23,1
8860145807fffff,88601696cbfffff,1,1
8860145807fffff,8861892401fffff,7,1
8860145807fffff,8861892413fffff,8,1
