origin,destination,flow
8860145a27fffff,8860145a3dfffff,2.0
8860145a27fffff,8860145a41fffff,1.0
8860145a27fffff,8860145a45fffff,1.0
8860145a27fffff,8860145a49fffff,1.0
8860145a27fffff,8860145a55fffff,1.0
8860145a27fffff,8860145a59fffff,1.0
8860145a27fffff,8860145a5dfffff,1.0
8860145a27fffff,8860145a63fffff,2.0
8860145a27fffff,8860145a67fffff,1.0
8860145a27fffff,8860145a6bfffff,1.0
8860145a27fffff,8860145a6dfffff,1.0
8860145a27fffff,8860145aa3fffff,1.0
8860145a27fffff,8860145aadfffff,1.0
8860145a27fffff,8860145acbfffff,1.0
8860145a27fffff,8860145aedfffff,1.0
8860145a27fffff,8860145b03fffff,1.0
8860145a27fffff,8860145b05fffff,1.0
8860145a27fffff,8860145b0bfffff,1.0
8860145a27fffff,8860145b11fffff,1.0
8860145a27fffff,8860145b17fffff,1.0
8860145a27fffff,8860145b1bfffff,1.0
8860145a27fffff,8860145b1dfffff,1.0
8860145a27fffff,8860145b21fffff,2.0
8860145a27fffff,8860145b33fffff,2.0
8860145a27fffff,8860145b39fffff,1.0
8860145a27fffff,8860145b3dfffff,1.0
8860145a27fffff,8860145b41fffff,1.0
8860145a27fffff,8860145b51fffff,1.0
8860145a27fffff,8860145b53fffff,1.0
8860145a27fffff,8860145b55fffff,1.0
8860145a27fffff,8860145b59fffff,1.0
8860145a27fffff,8860145b5bfffff,1.0
8860145a27fffff,8860145b5dfffff,1.0
8860145a27fffff,8860145b65fffff,1.0
8860145a27fffff,8860145b6bfffff,1.0
8860145a27fffff,8860169647fffff,1.0
8860145a27fffff,886016965dfffff,1.0
8860145a27fffff,88601696cbfffff,1.0
8860145a27fffff,8861892401fffff,1.0
8860145a27fffff,8861892407fffff,1.0
8860145a27fffff,8861892413fffff,1.0
8860145a27fffff,8861892425fffff,1.0
8860145a27fffff,8861892429fffff,1.0
