Ward Num,Ward Name,Population,Male,Female,SC Population,SC male,SC Female,ST Population,ST Male,ST Female,Assembly constituency
38,HMT Ward,36879,19332,17547,6281,3200,3081,1447,752,695,154-RAJARAJESHWARI NAGAR
39,Chokkasandra,59289,32904,26385,4132,2211,1921,1830,1021,809,155-DASARAHALLI
40,Dodda Bidarakallu,72794,38471,34323,6241,3210,3031,3556,1837,1719,153-YESHVANTHAPURA
41,Peenya Industrial Area,57814,31652,26162,3715,1958,1757,1601,888,713,155-DASARAHALLI
42,Lakshmi Devi Nagar,41352,21707,19645,8353,4218,4135,1203,650,553,154-RAJARAJESHWARI NAGAR
43,Nandini Layout,51200,26617,24583,5856,2965,2891,993,516,477,156-MAHALAXMI LAYOUT
44,Marappana Palya,40212,20754,19458,6767,3431,3336,653,328,325,156-MAHALAXMI LAYOUT
45,Malleswaram,34196,17527,16669,2907,1465,1442,612,308,304,157-MALLESWARAM
46,Jayachamarajendra  Nagar,31449,16046,15403,2633,1334,1299,284,143,141,158-HEBBAL
47,Devara Jeevanahalli,42135,21936,20199,7645,3859,3786,418,212,206,159-PULAKESHI NAGAR (SC)
48,Muneshwara Nagar,35814,18235,17579,7118,3605,3513,425,219,206,159-PULAKESHI NAGAR (SC)
49,Lingarajapura,37955,19056,18899,6579,3301,3278,1419,719,700,160-SARVARGNA NAGAR
50,Benniganahalli,49094,26406,22688,10790,5471,5319,1225,674,551,161-C.V. RAMAN NAGAR (SC)
51,Vijnanapura,46159,23667,22492,10819,5491,5328,755,379,376,151-K.R.PURA
52,K R Puram,35168,18081,17087,3563,1792,1771,933,499,434,151-K.R.PURA
53,Basavanapura,48585,25140,23445,7476,3778,3698,1008,537,471,151-K.R.PURA
54,Hudi,50191,28201,21990,6964,3610,3354,1132,639,493,174-MAHADEVAPURA (SC)
55,Devasandra,33946,18302,15644,4851,2513,2338,771,434,337,151-K.R.PURA
56,A Narayanapura,43443,22637,20806,8354,4233,4121,622,315,307,151-K.R.PURA
57,C V Raman Nagar,58815,30553,28262,4516,2306,2210,943,483,460,161-C.V. RAMAN NAGAR (SC)
58,New Tippasandara,43983,22819,21164,4473,2291,2182,794,411,383,161-C.V. RAMAN NAGAR (SC)
59,Maruthi Seva Nagar,40362,19936,20426,10088,5081,5007,353,187,166,160-SARVARGNA NAGAR
60,Sagayarapuram,35334,17533,17801,9985,4907,5078,336,162,174,159-PULAKESHI NAGAR (SC)
61,S K Garden,38050,19413,18637,6497,3276,3221,541,271,270,159-PULAKESHI NAGAR (SC)
62,Ramaswamy Palya,34394,17305,17089,8666,4319,4347,268,148,120,162-SHIVAJI NAGAR
63,Jayamahal,21728,10720,11008,3297,1601,1696,225,117,108,162-SHIVAJI NAGAR
64,Rajamahal Guttahalli,31118,15502,15616,3604,1759,1845,402,212,190,157-MALLESWARAM
65,Kadu Malleshwar Ward,35609,17558,18051,1066,552,514,222,121,101,157-MALLESWARAM
66,Subramanya Nagar,35709,17893,17816,1179,573,606,410,210,200,157-MALLESWARAM
67,Nagapura,34574,17397,17177,2388,1190,1198,592,292,300,156-MAHALAXMI LAYOUT
68,Mahalakshimpuram,44615,23091,21524,2093,1063,1030,545,268,277,156-MAHALAXMI LAYOUT
69,Laggere,57077,29828,27249,3847,1968,1879,1240,646,594,154-RAJARAJESHWARI NAGAR
70,Rajagopal Nagar,61479,33139,28340,4847,2506,2341,1426,740,686,155-DASARAHALLI
71,Hegganahalli,66314,35787,30527,4305,2332,1973,1515,834,681,155-DASARAHALLI
72,Herohalli,62272,33066,29206,4160,2092,2068,1509,792,717,153-YESHVANTHAPURA
73,Kottegepalya,68922,36138,32784,5409,2928,2481,1499,787,712,154-RAJARAJESHWARI NAGAR
74,Shakthi Ganapathi Nagar,43844,22480,21364,7710,3966,3744,543,277,266,156-MAHALAXMI LAYOUT
75,Shankar Matt,48734,25246,23488,1933,978,955,553,280,273,156-MAHALAXMI LAYOUT
76,Gayithri Nagar,33236,16934,16302,1022,532,490,325,176,149,157-MALLESWARAM
77,Dattatreya Temple,33388,17100,16288,3453,1722,1731,463,232,231,164-GANDHI NAGAR
78,Pulikeshinagar,28835,14431,14404,2262,1141,1121,429,214,215,159-PULAKESHI NAGAR (SC)
79,Sarvagna Nagar,37291,18906,18385,13506,6809,6697,442,226,216,161-C.V. RAMAN NAGAR (SC)
80,Hoysala Nagar,35228,17474,17754,11220,5551,5669,398,202,196,161-C.V. RAMAN NAGAR (SC)
81,Vijnana Nagar,57062,29816,27246,6055,3021,3034,761,392,369,151-K.R.PURA
82,Garudachar Playa,49631,27919,21712,6566,3449,3117,1293,768,525,174-MAHADEVAPURA (SC)
83,Kadugodi,43942,23604,20338,8138,4104,4034,784,428,356,174-MAHADEVAPURA (SC)
84,Hagadur,50556,26388,24168,5614,2854,2760,901,458,443,174-MAHADEVAPURA (SC)
85,Dodda Nekkundi,63083,32888,30195,5430,2788,2642,1078,552,526,174-MAHADEVAPURA (SC)
86,Marathahalli,39768,22555,17213,5390,2751,2639,712,369,343,174-MAHADEVAPURA (SC)
87,HAL Airport,39926,20925,19001,6793,3406,3387,1113,585,528,151-K.R.PURA
88,Jeevanbhima Nagar,38251,19425,18826,9311,4654,4657,678,338,340,161-C.V. RAMAN NAGAR (SC)
89,Jogupalya,33793,16989,16804,3861,1888,1973,659,322,337,163-SHANTI NAGAR
90,Halsoor,35090,19627,15463,8566,4335,4231,369,246,123,162-SHIVAJI NAGAR
91,Bharathi Nagar,32689,16493,16196,2007,979,1028,157,82,75,162-SHIVAJI NAGAR
92,Shivaji Nagar,37506,19324,18182,2379,1154,1225,152,82,70,162-SHIVAJI NAGAR
93,Vasanth Nagar,22815,11039,11776,2757,1342,1415,243,115,128,162-SHIVAJI NAGAR
94,Gandhinagar,31208,17306,13902,6377,3212,3165,263,153,110,164-GANDHI NAGAR
95,Subhash Nagar,37693,19313,18380,16365,8266,8099,607,329,278,164-GANDHI NAGAR
96,Okalipuram,38110,19481,18629,6637,3300,3337,357,168,189,164-GANDHI NAGAR
97,Dayananda Nagar,35721,18163,17558,11005,5502,5503,245,125,120,165-RAJAJI NAGAR
98,Prakash Nagar,32913,16837,16076,1979,989,990,184,96,88,165-RAJAJI NAGAR
99,Rajaji Nagar,33084,16969,16115,2322,1158,1164,361,201,160,165-RAJAJI NAGAR
100,Basaveshwara Nagar,30333,15465,14868,1820,937,883,529,259,270,165-RAJAJI NAGAR
101,Kamakshipalya,30051,15700,14351,2538,1303,1235,456,235,221,165-RAJAJI NAGAR
102,Vrisabhavathi Nagar,50893,27129,23764,2041,1071,970,831,452,379,156-MAHALAXMI LAYOUT
103,Kaveripura,53532,28684,24848,1959,1021,938,1138,591,547,166-GOVINDRAJA NAGAR
104,Govindaraja Nagar,26873,13862,13011,2723,1361,1362,467,244,223,166-GOVINDRAJA NAGAR
105,Agrahara Dasarahalli,28355,14614,13741,3225,1650,1575,599,307,292,166-GOVINDRAJA NAGAR
106,Dr. Raj Kumar Ward,24181,12517,11664,2158,1119,1039,678,353,325,166-GOVINDRAJA NAGAR
107,Shivanagara,36461,19071,17390,1197,630,567,510,269,241,165-RAJAJI NAGAR
108,Sriramamandir,33866,17274,16592,1577,798,779,301,157,144,165-RAJAJI NAGAR
109,Chickpete,33292,17629,15663,277,135,142,185,100,85,164-GANDHI NAGAR
110,Sampangiram Nagar,27504,13999,13505,1890,967,923,155,78,77,162-SHIVAJI NAGAR
111,Shantala Nagar,22995,11518,11477,3178,1512,1666,291,124,167,163-SHANTI NAGAR
112,Domlur,30638,15497,15141,6055,3002,3053,762,385,377,163-SHANTI NAGAR
113,Konena Agrahara,38108,19995,18113,4576,2296,2280,306,156,150,161-C.V. RAMAN NAGAR (SC)
114,Agaram,36916,21259,15657,11469,5730,5739,270,173,97,163-SHANTI NAGAR
115,Vannarpet,37060,18685,18375,10668,5297,5371,1274,641,633,163-SHANTI NAGAR
116,Nilasandra,48534,25323,23211,8950,4477,4473,643,310,333,163-SHANTI NAGAR
117,Shanthi Nagar,42095,22237,19858,6246,3098,3148,649,338,311,163-SHANTI NAGAR
118,Sudham Nagara,28784,14447,14337,10840,5288,5552,297,133,164,169-CHICKPET
119,Dharmaraya Swamy Temple wa,27076,14156,12920,1990,1014,976,150,81,69,169-CHICKPET
120,Cottonpete,37344,19213,18131,5438,2764,2674,446,236,210,164-GANDHI NAGAR
121,Binnipete,37354,19156,18198,4561,2310,2251,981,491,490,164-GANDHI NAGAR
122,Kempapura Agrahara,40032,20374,19658,1073,540,533,2395,1229,1166,167-VIJAYA NAGAR
123,Vijayanagar,40331,20905,19426,1897,985,912,606,316,290,167-VIJAYA NAGAR
124,Hosahalli,37347,18944,18403,4817,2431,2386,851,447,404,167-VIJAYA NAGAR
125,Marenahalli,21171,10838,10333,748,386,362,215,105,110,166-GOVINDRAJA NAGAR
126,Maruthi Mandir ward,29319,15225,14094,1468,758,710,356,182,174,166-GOVINDRAJA NAGAR
127,Mudalapalya,43729,22625,21104,2362,1205,1157,797,412,385,166-GOVINDRAJA NAGAR
128,Nagarabhavi,35780,18239,17541,3020,1510,1510,490,238,252,166-GOVINDRAJA NAGAR
129,Jnana Bharathi ward,68132,35366,32766,7659,3874,3785,1819,970,849,154-RAJARAJESHWARI NAGAR
130,Ullalu,58199,30069,28130,7461,3819,3642,1365,699,666,153-YESHVANTHAPURA
131,Nayandahalli,42785,22051,20734,5309,2671,2638,704,371,333,166-GOVINDRAJA NAGAR
132,Attiguppe,41487,21447,20040,2268,1171,1097,424,210,214,167-VIJAYA NAGAR
133,Hampi Nagar,35113,17900,17213,4082,2116,1966,807,420,387,167-VIJAYA NAGAR
134,Bapuji Nagar,49484,25763,23721,2456,1230,1226,632,335,297,167-VIJAYA NAGAR
135,Padarayanapura,37599,19364,18235,163,88,75,89,53,36,168-CHAMARAJPET
136,Jagajivanaramnagar,38639,19773,18866,6221,3099,3122,333,170,163,168-CHAMARAJPET
137,Rayapuram,36039,18319,17720,13639,6858,6781,458,236,222,168-CHAMARAJPET
138,Chalavadipalya,24801,12533,12268,13039,6417,6622,187,95,92,168-CHAMARAJPET
139,K R Market,29344,15128,14216,10480,5227,5253,349,169,180,168-CHAMARAJPET
140,Chamrajapet,32213,16436,15777,1214,658,556,525,290,235,168-CHAMARAJPET
141,Azad Nagar,38825,19790,19035,2118,1048,1070,1480,729,751,168-CHAMARAJPET
142,Sunkenahalli,34666,17687,16979,1366,689,677,327,160,167,169-CHICKPET
143,Vishveshwara Puram,32462,16316,16146,1766,870,896,346,179,167,169-CHICKPET
144,Siddapura,34879,17622,17257,6803,3393,3410,751,378,373,169-CHICKPET
145,Hombegowda Nagara,38309,19813,18496,3482,1730,1752,408,205,203,169-CHICKPET
146,Lakkasandra,30667,15786,14881,5425,2752,2673,510,252,258,172-B.T.M. LAYOUT
147,Adugodi,34299,17717,16582,9039,4579,4460,1082,575,507,172-B.T.M. LAYOUT
148,Ejipura,47004,24717,22287,7231,3660,3571,953,494,459,172-B.T.M. LAYOUT
149,Varthuru,54625,28959,25666,8734,4464,4270,782,423,359,174-MAHADEVAPURA (SC)
150,Bellanduru,80180,44031,36149,9060,4626,4434,1844,1002,842,174-MAHADEVAPURA (SC)
151,Koramangala,38316,19397,18919,4943,2564,2379,864,396,468,172-B.T.M. LAYOUT
152,Suddagunte Palya,39997,21788,18209,3402,1766,1636,463,254,209,172-B.T.M. LAYOUT
153,Jayanagar,38151,19276,18875,4619,2363,2256,1082,535,547,169-CHICKPET
154,Basavanagudi,32640,16222,16418,1022,503,519,415,191,224,170-BASAVANAGUDI
155,Hanumanth Nagar,36982,18870,18112,1522,791,731,573,282,291,170-BASAVANAGUDI
156,Srinagar,41379,21222,20157,748,372,376,886,438,448,170-BASAVANAGUDI
157,Gali Anjenaya Temple ward,34653,17967,16686,3161,1603,1558,672,331,341,167-VIJAYA NAGAR
158,Deepanjali Nagar,45928,24007,21921,4267,2244,2023,781,414,367,167-VIJAYA NAGAR
159,Kengeri,40771,21051,19720,3554,1786,1768,751,399,352,153-YESHVANTHAPURA
160,Rajarajeshwari Nagar,56897,29439,27458,3853,1968,1885,1535,798,737,154-RAJARAJESHWARI NAGAR
161,Hosakerehalli,46805,25173,21632,1889,994,895,530,269,261,171-PADMANABA NAGAR
162,Girinagar,43195,21843,21352,863,444,419,483,245,238,170-BASAVANAGUDI
163,Katriguppe,45572,23340,22232,827,423,404,618,321,297,170-BASAVANAGUDI
164,Vidyapeeta ward,43483,22546,20937,2300,1182,1118,745,377,368,170-BASAVANAGUDI
165,Ganesh Mandir ward,25998,12983,13015,809,412,397,247,127,120,171-PADMANABA NAGAR
166,Karisandra,27040,13619,13421,2117,1055,1062,444,223,221,171-PADMANABA NAGAR
167,Yediyur,32756,16532,16224,1344,674,670,556,272,284,171-PADMANABA NAGAR
168,Pattabhiram Nagar,28353,14172,14181,1754,872,882,299,151,148,173-JAYANAGAR
169,Byrasandra,32066,16296,15770,4886,2420,2466,274,134,140,173-JAYANAGAR
170,Jayanagar East,33927,17282,16645,5997,2960,3037,382,197,185,173-JAYANAGAR
171,Gurappanapalya,48991,25325,23666,1470,773,697,1008,503,505,173-JAYANAGAR
172,Madivala,42624,23282,19342,3197,1659,1538,745,388,357,172-B.T.M. LAYOUT
173,Jakkasandra,33521,18009,15512,3641,1913,1728,942,492,450,172-B.T.M. LAYOUT
174,HSR Layout,63033,32656,30377,5681,2898,2783,925,472,453,175-BOMMANAHALLI
175,Bommanahalli,43585,23005,20580,4241,2168,2073,557,286,271,175-BOMMANAHALLI
176,BTM Layout,52250,27937,24313,3897,1955,1942,644,323,321,172-B.T.M. LAYOUT
177,J P Nagar,28846,14679,14167,3399,1685,1714,415,198,217,173-JAYANAGAR
178,Sarakki,31034,15864,15170,1945,952,993,394,217,177,173-JAYANAGAR
179,Shakambari Nagar,25871,13179,12692,500,263,237,302,139,163,173-JAYANAGAR
180,Banashankari Temple ward,42171,21525,20646,3271,1709,1562,1487,756,731,171-PADMANABA NAGAR
181,Kumaraswamy Layout,47182,24414,22768,2274,1148,1126,567,274,293,171-PADMANABA NAGAR
182,Padmanabha Nagar,41037,20855,20182,1875,972,903,281,144,137,171-PADMANABA NAGAR
183,Chikkalsandra,43364,22206,21158,745,391,354,410,225,185,171-PADMANABA NAGAR
184,Uttarahalli,57209,29935,27274,6344,3181,3163,1200,640,560,176-BANGALORE SOUTH
185,Yelchenahalli,46943,24623,22320,2873,1481,1392,437,229,208,176-BANGALORE SOUTH
186,Jaraganahalli,38294,20044,18250,1487,780,707,733,361,372,175-BOMMANAHALLI
187,Puttenahalli,49207,25666,23541,2041,1020,1021,666,347,319,175-BOMMANAHALLI
188,Bilekhalli,49884,26149,23735,4301,2162,2139,523,265,258,175-BOMMANAHALLI
189,Hongasandra,68554,36812,31742,3639,1911,1728,1280,694,586,175-BOMMANAHALLI
190,Mangammanapalya,65890,35202,30688,5464,2799,2665,1527,826,701,175-BOMMANAHALLI
191,Singasandra,71004,40347,30657,9644,5302,4342,1714,1017,697,177-ANEKAL (SC)
192,Begur,80037,42157,37880,7262,3639,3623,1375,707,668,176-BANGALORE SOUTH
193,Arakere,58355,30522,27833,5190,2682,2508,1094,558,536,175-BOMMANAHALLI
194,Gottigere,51911,26838,25073,7276,3618,3658,779,393,386,176-BANGALORE SOUTH
195,Konankunte,57335,29504,27831,2219,1130,1089,537,267,270,176-BANGALORE SOUTH
196,Anjanapura,45608,23474,22134,4091,2093,1998,549,282,267,176-BANGALORE SOUTH
197,Vasanthpura,62057,32212,29845,5280,2757,2523,1117,581,536,176-BANGALORE SOUTH
198,Hemmigepura,50440,26172,24268,6456,3247,3209,832,447,385,153-YESHVANTHAPURA
