pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
5909329,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 27 (Banasavadi)",,,6,3,1,10,5,560043,2,2,3,0,2,5,19,0,0,2,0,1,1,9,234,1,0,0,0,0,0,0
3513338,"KARNATAKA","BENGALURU U NORTH",1,,,"Bagalur","BAGALUR",1,3,1,5,5,562149,2,2,3,0,2,19,0,0,0,0,0,1,2,9,244,1,0,0,0,0,0,0
7764489,"KARNATAKA","BENGALURU U NORTH",1,,,"Machohalli","MACHOHALLI",1,3,1,5,1,562130,2,2,3,0,2,5,0,0,0,0,0,1,2,2,241,1,0,0,0,0,2,3
9251492,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.110 (Sampangiram Nagar)",,,1,3,1,5,5,560027,2,2,3,0,2,19,5,4,0,0,0,1,1,9,210,1,13,16,2,2,4,3
1637698,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.4 (Yelahanka Satellite Town)",,,11,3,11,12,5,560064,2,2,3,0,2,19,0,0,0,0,2,1,9,9,4,1,0,0,0,0,0,0
3123115,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.69 (Laggere)",,,6,3,1,10,5,560058,2,2,3,0,2,19,5,4,0,2,0,1,1,9,250,1,6,6,0,3,0,0
5701568,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.105 (Agrahara Dasarahalli)",,,2,3,1,7,4,560079,2,2,3,0,2,5,19,4,0,0,0,1,1,2,244,1,7,8,1,0,0,0
8801804,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.19 (SanJayanagar)",,,6,3,1,10,5,560094,2,2,3,0,2,19,5,4,0,2,0,1,1,9,240,1,16,9,3,3,0,0
2253180,"KARNATAKA","BENGALURU U NORTH",1,,,"Kodigehalli(Part)","Kodigehalli",2,3,1,8,5,560056,2,2,3,0,2,19,5,4,0,0,0,1,1,9,230,1,1,2,0,0,0,0
8274255,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.61(SK Garden)",,,2,3,1,7,5,560046,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,0,0,0,0,0,0
8884627,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.12 (Shettihalli)",,,6,3,1,10,5,560057,2,2,3,0,2,19,0,0,0,2,0,1,1,9,245,1,0,1,0,0,1,0
6341777,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 30 (Kadugondanahalli)",,,6,3,1,10,5,560045,2,2,3,0,2,19,5,4,0,2,0,1,1,9,30,2,6,1,2,1,0,0
1067660,"KARNATAKA","BENGALURU U NORTH",1,,,"Bagalur","BAGALUR",8,3,8,10,4,562149,2,2,3,0,2,5,0,0,0,2,0,1,9,9,244,1,0,0,0,0,0,0
9387184,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.16 (Jalahalli)",,,6,3,1,10,5,560013,2,2,3,0,1,19,0,0,0,2,0,1,1,9,237,1,121,77,7,10,0,0
4303093,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.91 (Bharathi Nagar)",,,8,3,8,10,5,560001,2,2,3,0,1,19,0,0,0,2,0,1,9,9,234,1,0,0,0,0,0,0
4977860,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.42 (Lakshmi Devi Nagar)",,,6,3,1,10,5,560022,2,2,3,0,2,19,5,4,0,2,0,1,1,9,242,1,27,32,0,0,0,0
3233289,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.44 (Marappana Palya)",,,8,3,8,10,5,560096,2,2,3,0,2,5,0,0,0,2,0,1,9,9,241,1,0,0,0,0,0,0
3166036,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.45(Malleshwaram)",,,6,3,1,10,5,560055,2,2,3,0,1,19,5,4,0,3,0,1,1,9,192,1,40,18,31,25,0,0
9416207,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.68 (Mahalakshmipuram)",,,11,3,11,12,4,560086,2,2,2,3,2,19,0,0,0,0,2,1,9,9,195,1,0,0,0,0,0,0
5722820,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.5 (Jakkuru)",,,3,3,1,12,5,560064,2,2,3,0,2,19,5,4,0,2,2,1,1,9,250,1,8,7,1,2,0,0
1083709,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.78 (Pulakeshi Nagar)",,,3,3,1,12,5,560005,2,2,3,0,1,19,4,5,16,3,3,1,1,9,1,1,162,62,0,0,0,0
8575547,"KARNATAKA","BENGALURU U NORTH",1,,,,,11,3,11,12,5,560090,2,2,3,0,2,5,19,4,0,0,2,1,9,9,245,2,0,0,0,0,0,0
6619228,"KARNATAKA","BENGALURU U NORTH",1,,,"Honnenahalli","SINGANAYAKANAHALLI",1,3,1,5,1,560064,2,2,3,0,2,5,0,0,0,0,0,1,2,2,245,1,0,0,0,0,2,3
1092058,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.75 (Shankar Matt)",,,2,3,1,7,1,560086,2,2,3,0,2,18,5,19,0,0,0,1,2,2,250,1,0,0,1,4,0,0
9836777,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 37 (Yeshwanthpura)",,,2,3,1,7,5,560054,2,2,3,0,2,19,0,0,0,0,0,1,1,9,3,1,13,15,0,0,1,0
9005443,"KARNATAKA","BENGALURU U NORTH",1,,,"Bagalur","BAGALUR",5,3,6,12,93,562149,2,2,1,10,2,19,5,4,0,1,1,1,9,9,244,1,0,0,0,0,0,0
4105893,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.91 (Bharathi Nagar)",,,6,3,1,10,5,560001,2,2,3,0,2,19,0,0,0,2,0,1,1,9,222,1,16,7,0,2,0,0
1366079,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.94 (Gandhi Nagar)",,,2,3,1,8,5,560009,2,2,3,0,2,19,0,0,0,0,0,1,1,9,226,1,45,29,8,1,0,0
1807925,"KARNATAKA","BENGALURU U NORTH",1,,,"Kakolu","SONNENAHALLI",2,3,1,8,5,560089,2,2,3,0,2,19,0,0,0,0,0,1,1,9,225,1,3,10,0,0,0,0
2715085,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.95 (Subhash Nagar)",,,2,3,1,8,5,560023,2,2,3,0,1,19,0,0,0,0,0,1,1,9,245,1,14,17,14,7,0,0
6699179,"KARNATAKA","BENGALURU U NORTH",1,,,,,2,3,1,8,5,560045,2,2,3,0,2,19,0,0,0,0,0,1,1,9,210,1,14,5,3,0,0,0
3987191,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.59 (Maruthi Seva Nagar)",,,6,3,1,10,5,560005,2,2,3,0,2,19,0,0,0,2,0,1,1,9,240,1,18,21,6,3,0,0
8360600,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.41(Peenya Industrial Area)",,,6,3,1,10,5,560058,2,2,3,0,2,19,0,0,0,2,0,1,1,9,250,1,20,19,0,1,11,6
1171698,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.44 (Marappana Palya)",,,6,3,1,10,5,560096,2,2,3,0,2,19,0,0,0,2,0,1,1,9,234,1,0,0,0,4,1,1
5691229,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.94 (Gandhi Nagar)",,,11,3,11,12,4,560020,2,2,3,0,2,19,5,0,0,0,2,1,9,9,225,1,0,0,0,0,0,0
3576168,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 27 (Banasavadi)",,,11,2,11,12,5,560043,2,2,3,0,2,19,5,4,18,0,2,1,9,9,200,1,0,0,0,0,0,0
7408607,"KARNATAKA","BENGALURU U NORTH",1,,,,,11,3,11,12,5,560090,2,2,3,0,2,19,5,4,10,0,2,1,9,9,230,1,0,0,0,0,0,0
5806227,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.41(Peenya Industrial Area)",,,2,3,1,8,5,560058,2,2,3,0,2,19,0,0,0,0,0,1,2,9,250,2,3,1,1,0,0,0
1541207,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 40 (Dodda Bidarakallu)",,,2,3,1,7,1,560073,2,2,3,0,2,5,0,0,0,0,0,1,2,2,232,1,1,1,0,0,18,18
4026956,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.11(Kuvempu Nagar)",,,2,3,1,8,4,560013,2,2,3,0,2,5,17,0,0,0,0,1,2,2,242,1,0,0,0,0,0,0
6535146,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.79 (Sarvagna Nagar)",,,2,3,1,8,5,560005,2,2,3,0,1,19,0,0,0,0,0,1,1,9,240,1,0,44,0,31,0,0
9831823,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 31 (Kushal Nagar)",,,6,3,1,10,5,560045,2,2,3,0,2,19,5,4,0,2,0,1,1,9,250,1,7,7,1,4,0,0
7394008,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 32 (Kaval Bairasandra)",,,6,3,1,10,5,560032,2,2,3,0,2,19,0,0,0,2,0,1,1,9,234,1,15,7,0,0,0,0
9568791,"KARNATAKA","BENGALURU U NORTH",1,,,"CHOKKANA HALLY","MARENAHALLI",6,3,1,10,5,560064,2,2,3,0,2,19,0,0,0,1,0,1,1,9,235,2,2,1,18,13,0,0
8761778,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.97 (Dayananda Nagar)",,,6,3,1,10,5,560021,2,2,3,0,2,19,5,0,0,1,0,1,1,9,10,1,22,31,0,0,0,0
8839187,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.22 (Vishwanath Nagenahalli)",,,6,3,1,10,5,560032,2,2,3,0,2,19,5,4,0,2,0,1,1,9,250,1,0,1,3,2,0,0
5914223,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.105 (Agrahara Dasarahalli)",,,11,3,11,12,5,560079,2,2,3,0,2,19,0,0,0,0,2,1,9,9,220,1,0,0,0,0,0,0
6695042,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.100 (Basaveshwara Nagar)",,,11,3,11,12,5,560079,2,2,3,0,2,19,5,0,0,0,2,1,9,9,235,2,0,0,0,0,0,0
6019651,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.73 (Kottegepalya)",,,11,3,11,12,5,560091,2,2,3,0,2,19,5,0,0,0,2,1,9,9,228,1,0,0,0,0,0,0
1324314,"KARNATAKA","BENGALURU U NORTH",1,,,"Adiganahalli","RAJANUKUNTE",1,3,1,5,1,560064,2,2,3,0,2,5,0,0,0,0,0,1,2,1,250,1,0,0,0,0,4,4
5905316,"KARNATAKA","BENGALURU U NORTH",1,,,,,2,3,1,7,1,560064,2,2,3,0,2,5,19,4,0,0,0,1,2,2,245,1,0,0,0,0,15,14
8175467,"KARNATAKA","BENGALURU U NORTH",1,,,,,1,3,1,5,1,560064,2,2,3,0,2,18,0,0,0,0,0,1,2,2,245,1,0,0,0,0,4,1
2553317,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.106 (Dr.Raj Kumar Ward)",,,2,3,1,7,1,560023,2,2,3,0,2,5,0,0,0,0,0,1,2,2,244,1,0,1,0,0,0,1
1268813,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.8 (Kodigehalli)",,,2,3,1,7,5,560094,2,2,3,0,2,19,0,0,0,0,0,1,1,9,244,1,9,7,1,1,0,0
8369438,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.46 (Jayachamarajendra Nagar)",,,6,3,1,10,5,560032,2,2,3,0,1,19,0,0,0,2,0,1,1,9,243,1,9,10,2,8,0,0
6526969,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.67 (Nagapura)",,,8,3,8,10,4,560086,2,2,3,0,2,5,0,0,0,2,0,1,9,9,240,1,0,0,0,0,0,0
5469337,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 31 (Kushal Nagar)",,,6,3,1,10,5,560045,2,2,3,0,2,19,0,0,0,2,0,1,1,9,234,1,2,3,0,0,0,0
2604889,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.50 (Benniganahalli)",,,6,3,1,10,5,560038,2,2,3,0,2,5,19,0,0,2,0,1,1,9,234,1,42,38,0,1,0,0
3132225,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 38 (HMT Ward)",,,6,3,1,10,5,560058,2,2,3,0,2,19,0,0,0,2,0,1,1,9,242,1,45,43,10,6,0,0
5959217,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.15 (T Dasarahalli)",,,6,3,1,10,5,560094,2,2,3,0,2,19,0,0,0,2,0,1,1,9,220,1,10,7,0,0,0,1
6641487,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.4 (Yelahanka Satellite Town)",,,6,3,1,10,5,560106,2,2,3,0,1,5,19,4,0,2,0,1,1,9,232,1,0,3,0,1,0,0
8105444,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.100 (Basaveshwara Nagar)",,,11,3,11,12,5,560086,2,2,3,0,2,19,5,0,0,0,2,1,9,9,160,2,0,0,0,0,0,0
1674118,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.9 (Vidyaranyapura)",,,11,3,11,12,5,560097,2,2,3,0,2,19,5,0,0,0,2,1,9,9,200,1,0,0,0,0,0,0
6745854,"KARNATAKA","BENGALURU U NORTH",1,,,,,11,3,11,12,5,560009,2,2,3,0,2,19,5,4,18,0,2,1,9,9,230,1,0,0,0,0,0,0
7200589,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 29 (Kacharkanahalli)",,,3,3,1,12,5,560084,2,2,3,0,2,19,0,0,0,2,2,1,1,9,224,1,47,50,21,9,0,0
1480280,"KARNATAKA","BENGALURU U NORTH",1,,,"Alur","ALUR",1,3,1,5,1,562162,2,2,3,0,2,5,0,0,0,0,0,1,2,2,250,1,0,0,0,0,0,0
9279121,"KARNATAKA","BENGALURU U NORTH",1,,,"Kalathammanahalli","Kasagattapura",1,3,1,5,1,560089,2,2,3,0,2,5,0,0,0,0,0,1,2,1,244,1,0,0,0,0,0,0
1340099,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.5 (Jakkuru)",,,2,3,1,8,5,560064,2,2,3,0,2,19,0,0,0,0,0,1,1,9,244,1,1,4,9,8,0,0
5016399,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 32 (Kaval Bairasandra)",,,1,3,1,5,1,560032,2,2,3,0,2,18,0,0,0,0,0,1,2,2,224,1,7,10,0,0,0,0
8453603,"KARNATAKA","BENGALURU U NORTH",2,"Madanayakanahalli-Municipality","Madanayakanahalli-14",,,1,3,1,5,1,562162,2,2,3,0,2,5,0,0,0,0,0,1,2,2,243,1,0,0,0,0,0,1
8253361,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 29 (Kacharkanahalli)",,,2,3,1,7,4,560084,2,2,3,0,1,5,0,0,0,0,0,1,2,2,250,1,0,0,0,0,0,0
7676487,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 30 (Kadugondanahalli)",,,2,3,1,7,5,560045,2,2,3,0,2,19,0,0,0,0,0,1,1,9,245,1,2,3,3,0,0,0
8937738,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.74 (Shakthi Ganapathi Nagar)",,,6,3,1,10,5,560079,2,2,3,0,2,19,5,4,0,2,0,1,1,9,232,1,0,0,0,2,0,0
8943169,"KARNATAKA","BENGALURU U NORTH",1,,,,,6,3,1,10,5,560045,2,2,3,0,2,19,0,0,0,2,0,1,1,9,236,1,21,0,1,0,0,0
1939011,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.15 (T Dasarahalli)",,,6,3,1,10,5,560057,2,2,3,0,2,19,5,4,0,2,0,1,1,9,240,1,14,12,1,2,0,0
3651010,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.60 (Sagayara Puram)",,,8,3,8,10,4,560084,2,2,3,0,2,19,16,5,4,2,0,1,9,9,234,1,0,0,0,0,0,0
7204166,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No. 39 (Chokkasandra)",,,6,3,1,10,5,560073,2,2,3,0,2,19,0,0,0,2,0,1,1,9,243,1,9,3,0,0,0,0
2496335,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.76 (Gayithri Nagar)",,,6,3,1,10,5,560021,2,2,3,0,2,19,0,0,0,2,0,1,1,9,20,1,20,23,1,1,0,0
5676524,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.7 (Byatarayanapura)",,,6,3,1,10,5,560045,2,2,3,0,1,19,5,4,0,2,0,1,1,9,220,1,36,26,15,4,0,0
9424421,"KARNATAKA","BENGALURU U NORTH",1,,,"Singanayakanahalli","SINGANAYAKANAHALLI",6,3,1,10,5,560064,2,2,3,0,2,19,5,4,0,3,0,1,1,9,250,1,15,10,4,5,0,0
1134883,"KARNATAKA","BENGALURU U NORTH",1,,,"Hesaraghatta","Hesarughatta",11,3,11,12,5,560088,2,2,3,0,2,5,19,4,0,0,2,1,9,9,240,2,0,0,0,0,0,0
9857393,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.67 (Nagapura)",,,11,3,11,12,5,560086,2,2,3,0,2,19,5,0,0,0,2,1,9,9,197,2,0,0,0,0,0,0
9923045,"KARNATAKA","BENGALURU U NORTH",2,"Madanayakanahalli-Municipality","Madanayakanahalli-14",,,2,3,1,8,5,562162,2,2,3,0,2,19,5,4,0,0,0,1,1,9,250,1,42,29,0,0,23,12
3999565,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.44 (Marappana Palya)",,,2,3,1,8,5,560086,2,2,3,0,2,19,5,4,0,0,0,1,1,9,30,1,105,67,0,0,0,0
3778105,"KARNATAKA","BENGALURU U NORTH",1,,,"Kadabagere","KADABAGERE",2,3,1,8,5,562130,2,2,3,0,2,19,5,0,0,0,0,1,1,9,237,1,7,3,1,0,0,0
3356582,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.107 (Shiva Nagar)",,,2,3,1,8,1,560010,2,2,3,0,2,5,19,0,0,0,0,1,1,1,246,1,0,0,0,0,10,13
3320225,"KARNATAKA","BENGALURU U NORTH",1,,,"CHOKKANA HALLY","MARENAHALLI",1,3,1,5,1,562149,2,2,3,0,2,5,19,4,0,0,0,1,2,2,244,1,0,0,0,0,0,0
5072031,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.7 (Byatarayanapura)",,,2,3,1,8,1,560097,2,2,3,0,2,5,19,0,0,0,0,1,2,2,245,1,0,0,0,0,26,20
6604974,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.42 (Lakshmi Devi Nagar)",,,2,3,1,7,4,560022,2,2,3,0,2,5,0,0,0,0,0,1,1,2,249,1,0,0,0,0,0,0
1523626,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.61(SK Garden)",,,2,3,1,8,5,560045,2,2,3,0,2,19,0,0,0,0,0,1,1,9,224,1,21,18,0,0,0,0
5304653,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.67 (Nagapura)",,,2,3,1,7,4,560086,2,2,3,0,2,5,0,0,0,0,0,1,2,2,222,1,0,0,0,0,0,0
2100767,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.102 (Vrisahbhavathi Nagar)",,,2,3,1,8,1,560079,2,2,3,0,2,5,19,0,0,0,0,1,2,2,198,1,0,0,0,1,86,92
7680970,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.61(SK Garden)",,,2,3,1,8,5,560005,2,2,3,0,2,19,0,0,0,0,0,1,1,9,224,2,0,0,0,0,0,0
6075247,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.107 (Shiva Nagar)",,,2,3,1,7,4,560010,2,2,3,0,2,5,0,0,0,0,0,1,2,1,233,1,0,0,0,0,7,11
7403333,"KARNATAKA","BENGALURU U NORTH",2,"Madanayakanahalli-Municipality","",,,2,3,1,8,1,562162,2,2,3,0,2,5,19,0,0,0,0,1,2,2,250,1,0,0,0,1,12,23
9061033,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.92 (Shivaji Nagar)",,,2,3,1,8,5,560051,2,2,3,0,2,19,4,5,0,0,0,1,1,9,234,1,2,1,1,1,0,0
5940657,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.73 (Kottegepalya)",,,2,3,1,8,1,560091,2,2,3,0,2,5,0,0,0,0,0,1,2,2,236,1,0,0,0,0,7,3
4605630,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.4 (Yelahanka Satellite Town)",,,2,3,1,7,1,560064,2,2,3,0,2,18,19,0,0,0,0,1,2,2,242,1,0,0,0,0,4,3
1943008,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.46 (Jayachamarajendra Nagar)",,,2,3,1,7,5,560032,2,2,3,0,2,19,0,0,0,0,0,1,1,9,245,1,7,9,5,4,0,0
9209465,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.69 (Laggere)",,,2,3,1,8,5,560058,2,2,3,0,2,19,0,0,0,0,0,1,1,9,239,1,1,3,0,0,0,1
2938503,"KARNATAKA","BENGALURU U NORTH",1,,,"CHOKKANA HALLY","MARENAHALLI",6,3,1,10,5,560077,2,2,3,0,2,19,5,4,0,2,0,1,1,9,220,1,24,16,12,8,0,0
4894416,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.92 (Shivaji Nagar)",,,6,3,1,10,5,560051,2,2,3,0,2,19,18,5,4,2,0,1,1,9,242,1,14,11,1,2,0,0
7978244,"KARNATAKA","BENGALURU U NORTH",2,"BBMP-Municipal Corporations","Ward No.94 (Gandhi Nagar)",,,2,3,1,8,5,560020,2,2,3,0,2,19,5,4,0,0,0,1,1,9,250,1,0,3,0,0,0,0
6018885,"KARNATAKA","BENGALURU U NORTH",1,,,"Seethakempanahalli","SHIVAKOTTE",1,3,1,5,1,560089,2,2,3,0,2,5,19,4,0,0,0,1,2,2,244,1,0,0,0,0,2,2
3150814,"KARNATAKA","BENGALURU U NORTH",1,,,,,6,3,1,10,5,560024,2,2,3,0,2,19,0,0,0,2,0,1,1,9,248,1,13,13,0,0,0,0
5775549,"KARNATAKA","BENGALURU U NORTH",1,,,"Gejjagadahalli","DASANAPURA",11,3,11,12,5,562123,2,2,2,3,2,19,0,0,0,0,2,1,9,9,250,1,0,0,0,0,0,0
6881546,"KARNATAKA","BENGALURU U NORTH",1,,,"Bettahalli","KITTANAHALLI",1,3,1,5,1,562130,2,2,3,0,2,5,0,0,0,0,0,1,2,2,241,1,0,0,0,0,2,2
