Stop Name,Latitude,Longitude,Num trips in stop,Boothcode,Routes with num trips
Lakkenahalli Sondekoppa,13.0446822,77.39272378,75,29150316,"{'374-MA': 18, '221-L': 9, '245-A': 9, '242-TC': 12, '374-M': 26, 'D35G-TVK-NML': 1}"
Lakkenahalli Village Sondekoppa,13.04358604,77.39780188,3,29150316,"{'258- KMT-LKH': 2, '374-M NMG-LKH': 1}"
Mallapura Nelamangala,13.07273304,77.39367731,101,29150316,"{'374-MA': 18, '221-L': 9, '245-A': 9, '242-TC': 12, '248-HA': 9, '374-M': 26, '245-H': 16, '245-H MRTG-NML': 1, 'D35G-TVK-NML': 1}"
Hunnigere Sondekoppa,13.03259616,77.39647352,17,29150336,"{'242-T': 9, '258-Q': 8}"
Hullegowdanahalli,13.06047397,77.40653247,31,29150315,"{'258-F': 11, '258-F KMT-SVP': 1, '245-H NML-D35G': 1, '258-F ASK-SVP': 1, '245-H': 16, '245-H MRTG-NML': 1}"
Karekalpalya,13.06995142,77.40216788,39,29150315,"{'242-JK': 7, 'D35G-KKP': 1, '258-F': 11, '258-F KMT-SVP': 1, '245-H NML-D35G': 1, '258-F ASK-SVP': 1, '245-H': 16, '245-H MRTG-NML': 1}"
Karekalpalya Cross Mallapura,13.06648569,77.40347983,0,29150315,{}
Kempammadevinagara,13.06492487,77.42026538,3,29150315,{'256 KBS-SVNC': 3}
Papabhovipalya,13.06567278,77.40413725,21,29150315,"{'258-A': 18, '258-A KBS-MNH': 3}"
Thimmabhovipalya Shivanapura,13.05958234,77.41923675,4,29150315,"{'256 KBS-SVNC': 3, '256-K BMT43-SVP': 1}"
Bettanagere Nelamangala,13.11460338,77.41066709,2,29150093,"{'258 KMT-BTG': 1, '258C KBS-BGT': 1}"
Bhakthanapalya Nelamangala,13.10129273,77.41078041,0,29150093,{}
Bommashettyhalli Cross Mattahalli,13.12585714,77.41666049,0,29150093,{}
Bommashettyhalli Nelamangala,13.13079664,77.41895445,12,29150093,"{'258-GA KBS-BMSH': 2, '258-GA': 10}"
Huskur Cross Mattahalli,13.12047936,77.42319167,0,29150093,{}
KG Srinivasapura Cross Nelamangala,13.12902013,77.40025923,15,29150093,"{'507-C YPRS-KRPG': 2, '407-F': 8, 'CRISTAL-5': 3, 'HSG-NMG 407': 1, '406 YLKOT-NMG': 1}"
Mylanahalli Gate Nelamangala,13.1271035,77.39841452,15,29150093,"{'507-C YPRS-KRPG': 2, '407-F': 8, 'CRISTAL-5': 3, 'HSG-NMG 407': 1, '406 YLKOT-NMG': 1}"
Chamundinagara Kittanahalli,13.01470522,77.42038463,38,29150342,"{'CLO-AVH': 1, '245-K': 8, '336-B SNBS-KMP': 2, '245-F': 8, '245-R KBS-DJP': 2, '245-H': 16, '245-H MRTG-NML': 1}"
Devaninjayyanapalya,13.01711971,77.41453355,2,29150342,{'245-R KBS-DJP': 2}
Kittanahalli,13.0089461,77.41957651,87,29150342,"{'D35G-KTH': 1, 'PSS-KTNH': 4, 'CLO-AVH': 1, '245-K': 8, '336-B SNBS-KMP': 2, '245-E': 11, '245-F': 8, '245-A': 9, 'KTH-D35G': 1, '245-H NML-D35G': 1, '245-R KBS-DJP': 2, '245-R': 8, '245-H': 16, '245-H MRTG-NML': 1, '245-J': 13, '245-J MRTG-KTH': 1}"
Shanthinagara Ravuthanahalli,13.01987163,77.42182346,36,29150342,"{'CLO-AVH': 1, '245-K': 8, '336-B SNBS-KMP': 2, '245-F': 8, '245-H': 16, '245-H MRTG-NML': 1}"
B Krishnappa Nagara,12.997144,77.40871578,2,29150360,{'242-B KBS-BKPN': 2}
Giddenahalli Kadabagere,12.99274809,77.41865337,14,29150360,"{'D35G-GDH': 1, '242-N': 12, '242-N MRTG-GDH': 1}"
Mallaiahnapalya Channenahalli,12.98569469,77.4272465,14,29150360,"{'D35G-GDH': 1, '242-N': 12, '242-N MRTG-GDH': 1}"
Arathipalya,13.03723832,77.42592685,18,29150335,"{'245-H NML-D35G': 1, '245-H': 16, '245-H MRTG-NML': 1}"
Averahalli Ravuttanahalli,13.03343105,77.42183983,34,29150335,"{'CLO-AVH': 1, '245-K': 8, '245-F': 8, '245-H': 16, '245-H MRTG-NML': 1}"
Kenganahalli Cross,13.04045238,77.42691994,3,29150335,"{'245-H NML-D35G': 1, '257-C ASK-RVT': 1, '256-D KBS-RVT': 1}"
Ravuthanahalli,13.02664672,77.42385224,39,29150335,"{'CLO-AVH': 1, '245-K': 8, '336-B SNBS-KMP': 2, '245-F': 8, '245-H NML-D35G': 1, '257-C ASK-RVT': 1, '256-D KBS-RVT': 1, '245-H': 16, '245-H MRTG-NML': 1}"
Bettahalli Vaddarahalli,13.00812437,77.43479796,85,29150341,"{'D35G-KTH': 1, 'PSS-KTNH': 4, 'CLO-AVH': 1, '245-K': 8, '336-B SNBS-KMP': 2, '245-E': 11, '245-F': 8, '245-A': 9, '245-R KBS-DJP': 2, '245-R': 8, '245-H': 16, '245-H MRTG-NML': 1, '245-J': 13, '245-J MRTG-KTH': 1}"
BMTC Training Centre Vaddarahalli,13.01986316,77.4483299,44,29150343,"{'D35G-VDHTC': 1, '245-M': 20, '245-M KHC-VDHTC': 2, '245-MA': 6, '245-AA': 4, '245-DA': 6, 'KBS-MNKH': 2, '245-M KBS-BDVN': 0, '245-M KHC-VTC': 1, 'D31G-KMS': 1, 'KDBC-MNKH': 1}"
Brundavana Kammasandra,13.02389687,77.44933284,1,29150343,"{'245-M KBS-BDVN': 0, '245-M KHC-VTC': 1}"
Kamadhenu Kshetra Vaddarahalli,13.02534364,77.44980756,22,29150343,"{'245-MA': 6, '245-AA': 4, 'KBS-MNKH': 2, '289-C': 8, 'D31G-KMS': 1, 'KDBC-MNKH': 1}"
Vaddarahalli,13.01493716,77.44690822,62,29150343,"{'D35G-VDHTC': 1, '245-M': 20, '245-M KHC-VDHTC': 2, '245-MA': 6, '245-AA': 4, '245-DA': 6, 'KBS-MNKH': 2, '245-Q': 8, 'D35G-BTH': 1, '245-D': 9, '245-M KBS-BDVN': 0, '245-M KHC-VTC': 1, 'D31G-KMS': 1, 'KDBC-MNKH': 1}"
Shivanapura,13.04432291,77.42604353,27,29150317,"{'258-F': 11, '256 KBS-SVNC': 3, '258-F KMT-SVP': 1, '304-VA': 9, '256-K BMT43-SVP': 1, '258-F ASK-SVP': 1, '304-VA TNF-SVP': 1}"
Depot-43 Gate Shivanapura,13.06790669,77.42657125,16,29150318,"{'VNC-D43': 13, 'D43-VNC': 3}"
Gejjagadahalli,13.06532594,77.43045375,13,29150318,"{'256-B YTTMC-GJDH': 2, '256-B': 11}"
Gowdahalli Colony,13.05022952,77.43301861,1,29150318,{'256-D KBS-RVT': 1}
Kenganahalli,13.05159346,77.41170712,31,29150318,"{'258-F': 11, '258-F KMT-SVP': 1, '245-H NML-D35G': 1, '258-F ASK-SVP': 1, '245-H': 16, '245-H MRTG-NML': 1}"
Sundaranagara Arsihinakunte,13.07151683,77.42286377,4,29150318,"{'258-X VNC-MTNT': 1, '256-MA VNC-TRHH': 2, '255-AC VNC-VDH': 1}"
Vinayakanagara Arsihinakunte,13.06754482,77.42233671,7,29150318,"{'258-X VNC-MTNT': 1, 'D43-VNC': 3, '256-MA VNC-TRHH': 2, '255-AC VNC-VDH': 1}"
BEL Layout Marappanapalya,13.0913904,77.42346675,2,29150256,{'NLM-BEL LT': 2}
Chikka Veeraiahanapalya Cross,13.11427191,77.43147719,30,29150256,"{'255-D': 15, '255-A': 11, '255-A YTTMC-HKV': 1, '255-A ADK-HSK': 2, '255-D JHC-HSK': 1}"
Kodipalya Nagaruru,13.09606737,77.44515927,129,29150256,"{'248-Y': 8, '248-Y D31G-PLH': 1, '255-D': 15, '255-A': 11, '255-C': 18, '255-J': 10, '255-E': 22, '401-B HPN-YTTMC': 1, '255-H': 6, '265-E': 6, '401-T': 8, '255 YTTMC-MTH': 4, '255-A YTTMC-HKV': 1, '255-A ADK-HSK': 2, '255-C YTTMC-PLH': 1, '255-D JHC-HSK': 1, '255-E KBS-NSP': 3, '255-E JHC-NSP': 1, '255-E BMT40C-NSP': 2, '255-J  DSP-HNS': 1, '255-J KBS-HNS': 1, '255-J YTTMC-HNS': 1, '255H DSP-GDP': 1, '255-AC': 3, '255-AC VNC-VDH': 1}"
Mattahalli APMC Yard,13.10483981,77.4438423,125,29150256,"{'248-Y': 8, '248-Y D31G-PLH': 1, '255-D': 15, '255-A': 11, '255-C': 18, '255-J': 10, '255-E': 22, '401-B HPN-YTTMC': 1, '255-H': 6, '265-E': 6, '401-T': 8, '255 YTTMC-MTH': 4, '255-A YTTMC-HKV': 1, '255-A ADK-HSK': 2, '255-C YTTMC-PLH': 1, '255-D JHC-HSK': 1, '255-E KBS-NSP': 3, '255-E JHC-NSP': 1, '255-E BMT40C-NSP': 2, '255-J  DSP-HNS': 1, '255-J KBS-HNS': 1, '255-J YTTMC-HNS': 1, '255H DSP-GDP': 1}"
Mattahalli Cross,13.11053468,77.44410516,148,29150256,"{'248-Y': 8, '248-Y D31G-PLH': 1, '255-D': 15, '255-A': 11, '255-C': 18, '255-J': 10, '255-E': 22, '401-B HPN-YTTMC': 1, '255-H': 6, '265-E': 6, '401-T': 8, '255-L': 12, '255-N': 11, '255 YTTMC-MTH': 4, '255-A YTTMC-HKV': 1, '255-A ADK-HSK': 2, '255-C YTTMC-PLH': 1, '255-D JHC-HSK': 1, '255-E KBS-NSP': 3, '255-E JHC-NSP': 1, '255-E BMT40C-NSP': 2, '255-J  DSP-HNS': 1, '255-J KBS-HNS': 1, '255-J YTTMC-HNS': 1, '255H DSP-GDP': 1}"
Nagaruru Cross,13.09196943,77.44524982,131,29150256,"{'248-Y': 8, '248-Y D31G-PLH': 1, '255-D': 15, 'D40C-NGR': 1, '255-A': 11, '255-C': 18, '255-J': 10, '255-E': 22, '401-B HPN-YTTMC': 1, '255-H': 6, '265-E': 6, '401-T': 8, '255 YTTMC-MTH': 4, '255-A YTTMC-HKV': 1, '255-A ADK-HSK': 2, '255-B KBS-NGR': 1, '255-C YTTMC-PLH': 1, '255-D JHC-HSK': 1, '255-E KBS-NSP': 3, '255-E JHC-NSP': 1, '255-E BMT40C-NSP': 2, '255-J  DSP-HNS': 1, '255-J KBS-HNS': 1, '255-J YTTMC-HNS': 1, '255H DSP-GDP': 1, '255-AC': 3, '255-AC VNC-VDH': 1}"
Pillahalli,13.10279338,77.4289908,40,29150256,"{'248-Y': 8, '248-Y D31G-PLH': 1, '258-AB': 12, '255-C': 18, '255-C YTTMC-PLH': 1}"
Vaderahalli Nagaruru,13.09932384,77.44478513,129,29150256,"{'248-Y': 8, '248-Y D31G-PLH': 1, '255-D': 15, '255-A': 11, '255-C': 18, '255-J': 10, '255-E': 22, '401-B HPN-YTTMC': 1, '255-H': 6, '265-E': 6, '401-T': 8, '255 YTTMC-MTH': 4, '255-A YTTMC-HKV': 1, '255-A ADK-HSK': 2, '255-C YTTMC-PLH': 1, '255-D JHC-HSK': 1, '255-E KBS-NSP': 3, '255-E JHC-NSP': 1, '255-E BMT40C-NSP': 2, '255-J  DSP-HNS': 1, '255-J KBS-HNS': 1, '255-J YTTMC-HNS': 1, '255H DSP-GDP': 1, '255-AC': 3, '255-AC VNC-VDH': 1}"
Huskur Baare Hesaraghatta Road,13.13696802,77.43923396,34,29150072,"{'507-C YPRS-KRPG': 2, '407-F': 8, '253-V': 6, 'PSS-RGH': 1, '253-E': 15, '253-E YTTMC-RGHL': 1, 'HSG-NMG 407': 1}"
Kanakanagara Totagere,13.13824464,77.43473121,34,29150072,"{'507-C YPRS-KRPG': 2, '407-F': 8, '253-V': 6, 'PSS-RGH': 1, '253-E': 15, '253-E YTTMC-RGHL': 1, 'HSG-NMG 407': 1}"
Kongovi Pvt Ltd,13.15427147,77.43826032,1,29150072,{'253-Q KBS-KGVK': 1}
Channenahalli Arch,12.97977674,77.43546881,267,29150361,"{'242-FA': 8, '242-J': 9, '242-T': 9, '242-TB': 15, '242-LA': 8, '242-L': 6, '242-F': 9, '242-H': 8, '242-JK': 7, '242-MA': 6, '242-TA KBS-MTK': 2, '242-Q': 9, '242-TA': 4, '242-Y': 6, '242-X': 12, '242-R': 9, '242-JA': 7, '242-U': 10, '240-J': 8, '242-B KBS-BKPN': 2, '242-ZD': 9, '242-ZD D31G-KLR': 1, '410-FC BSK-TVK': 3, '242-X D35G-DDR': 1, '248-HA': 9, '241-M': 6, '240-N': 8, '240-M': 8, '242-TB D35G-KVH': 1, 'CFLS-KMT': 2, 'KMT-VDH-CFLS': 3, '242-ZC CFLS-KBS': 1, '240-MB': 6, '243-M': 7, '240-K': 7, '242-ZC': 6, '242-ZC KMT-BMH-KGH': 1, '240-MB KMT-MGD': 1, '242-V D31G-CKH': 1, '248-BA CLO-CKB': 1, '240-K MRTG-BSKR': 1, '240-MB MRTG-MGD': 1, '241-M MRTG-SVND': 1, 'SGHG-TVK': 1, '242-E KBS-CNH': 1, '242-F MRTG-YLG': 1, '242-H MRTG-MDP': 1, '242-J MRTG-DMH': 1, '242-JA KMT-GNK': 2, '242-P': 8, '242-P SMH-HLH': 1, '242-Q MRTG-GNGH': 1, '242-R MRTG-JGH': 1, '242-U MRTG-LKP': 1, '242-Y MRTG-AMP': 1, '243-M MRTG-SPH': 1, 'D35G-TVK-NML': 1, '410-T': 6}"
Hamsa Farm,12.98173961,77.43961953,393,29150361,"{'242-TB': 15, '242-LA': 8, '242-L': 6, '242-F': 9, '242-H': 8, '242-JK': 7, '242-MA': 6, '242-TA KBS-MTK': 2, '242-Q': 9, '242-TA': 4, '242-Y': 6, '242-X': 12, '242-JA': 7, '293-P': 12, 'G-11': 35, '401-M NLO-CLO': 1, '242-B KBS-BKPN': 2, '293-H': 19, '290-RA': 5, 'KLN-VDC': 1, '293-K': 13, '293-F': 11, 'SBS-HNS': 3, '293-J': 11, '242-ZD': 9, '242-ZD D31G-KLR': 1, 'G-11 SNBS-BLR': 1, '410-FC BSK-TVK': 3, 'KLN-BGL': 3, 'D10G-BGL-BDG': 2, '242-X D35G-DDR': 1, '248-HA': 9, '241-M': 6, '240-N': 8, 'D10G-BGLR-DVH': 4, '240-M': 8, '289-LA': 11, '242-TB D35G-KVH': 1, '293-D': 12, '296-M': 6, 'CFLS-KMT': 2, 'KMT-VDH-CFLS': 3, '242-ZC CFLS-KBS': 1, '293-E': 10, '289-LA YSTF-HSK': 1, '240-MB': 6, '243-M': 7, '240-K': 7, '242-ZC': 6, '242-ZC KMT-BMH-KGH': 1, '240-MB KMT-MGD': 1, '242-V D31G-CKH': 1, '248-BA CLO-CKB': 1, '240-K MRTG-BSKR': 1, '240-MB MRTG-MGD': 1, '241-M MRTG-SVND': 1, 'SGHG-TVK': 1, '242-E KBS-CNH': 1, '242-F MRTG-YLG': 1, '242-H MRTG-MDP': 1, '242-JA KMT-GNK': 2, '242-P': 8, '242-P SMH-HLH': 1, '242-Q MRTG-GNGH': 1, '242-Y MRTG-AMP': 1, '243-M MRTG-SPH': 1, '293S BMT48-BGLR': 2, '293D BMT48-SGH': 1, '293F BMT48-HNS': 1, '293J BMT48-MRS': 2, 'D48-DNH': 1, '293 D48-RZP': 2, 'D35G-TVK-NML': 1, '410-T': 6, '293G-BMT-48-BDG': 1, 'CHAKRA-10A': 6, 'CHAKRA-10 BMT10-HNRJ': 1, '293-S KBS-HNS': 2, 'HALM-SBS-BMES': 1, 'SVM-SBS-BMES': 1}"
Kadabagere,12.9968254,77.4331654,68,29150362,"{'D35G-KDB': 1, '245-GA': 13, 'PSS-KTNH': 4, 'CLO-AVH': 1, '245-K': 8, '245-C': 10, 'KTH-D35G': 1, 'D-31G-KDG': 1, '245-H NML-D35G': 1, '248-J CKB-JPLK': 1, '245-R KBS-DJP': 2, '245-R': 8, '245-H': 16, '245-H MRTG-NML': 1}"
Raghavendra Layout Kadabagere,12.99388245,77.43866252,2,29150362,"{'KTH-D35G': 1, '245-H NML-D35G': 1}"
Bayandahalli,13.006079,77.44215424,112,29150363,"{'D35G-KTH': 1, 'D35G-VDHTC': 1, '245-M': 20, '245-M KHC-VDHTC': 2, '245-MA': 6, '245-AA': 4, '336-B SNBS-KMP': 2, '245-DA': 6, '245-E': 11, '245-F': 8, 'KBS-MNKH': 2, 'MNKH-KBS': 4, '245-Q': 8, 'D35G-BTH': 1, '245-D': 9, '245-A': 9, '245-M KBS-BDVN': 0, '245-M KHC-VTC': 1, 'D31G-KMS': 1, '245-M MNKH-MRTG': 1, 'KDBC-MNKH': 1, '245-J': 13, '245-J MRTG-KTH': 1}"
Bayandahalli Colony,13.00336388,77.4422773,112,29150363,"{'D35G-KTH': 1, 'D35G-VDHTC': 1, '245-M': 20, '245-M KHC-VDHTC': 2, '245-MA': 6, '245-AA': 4, '336-B SNBS-KMP': 2, '245-DA': 6, '245-E': 11, '245-F': 8, 'KBS-MNKH': 2, 'MNKH-KBS': 4, '245-Q': 8, 'D35G-BTH': 1, '245-D': 9, '245-A': 9, '245-M KBS-BDVN': 0, '245-M KHC-VTC': 1, 'D31G-KMS': 1, '245-M MNKH-MRTG': 1, 'KDBC-MNKH': 1, '245-J': 13, '245-J MRTG-KTH': 1}"
Janapriya Township,12.99889342,77.44273798,181,29150363,"{'D35G-JPT': 3, 'D35G-KTH': 1, 'D35G-VDHTC': 1, '245-M': 20, '245-M KHC-VDHTC': 2, 'G-7': 43, 'JPT-D35G': 6, '245-MA': 6, 'G-7 D31G-JTS': 1, '245-AA': 4, '336-B SNBS-KMP': 2, '245-DA': 6, '245-E': 11, '245-F': 8, 'KBS-MNKH': 2, 'MNKH-KBS': 4, '245-Q': 8, 'D35G-BTH': 1, '245-D': 9, '245-A': 9, 'JTS-PSS': 4, 'VPS-13': 2, 'VPS-16': 2, 'VPS-19': 3, 'ITPL-JPTS': 2, 'BTP-35': 3, '245-M KBS-BDVN': 0, '245-M KHC-VTC': 1, 'D31G-KMS': 1, '245-M MNKH-MRTG': 1, 'KDBC-MNKH': 1, '245-J': 13, '245-J MRTG-KTH': 1}"
Mutturayanaswamy Temple Kadabagere Cross,12.99178773,77.44262442,215,29150363,"{'D35G-JPT': 3, 'D35G-KDB': 1, 'D35G-KTH': 1, 'D35G-VDHTC': 1, '245-M': 20, '245-M KHC-VDHTC': 2, '245-GA': 13, 'G-7': 43, '245-MA': 6, 'CLO-AVH': 1, '245-K': 8, 'G-7 D31G-JTS': 1, '245-AA': 4, '336-B SNBS-KMP': 2, '245-C': 10, '245-DA': 6, '245-E': 11, '245-F': 8, 'KBS-MNKH': 2, '245-Q': 8, 'D35G-BTH': 1, '245-D': 9, '245-A': 9, 'D-31G-KDG': 1, '245-M KBS-BDVN': 0, '245-M KHC-VTC': 1, 'D31G-KMS': 1, 'KDBC-MNKH': 1, '245-R KBS-DJP': 2, '245-R': 8, '245-H': 16, '245-H MRTG-NML': 1, '245-J': 13, '245-J MRTG-KTH': 1}"
