h3_index,pm2_5,pm10,no2,so2,o3,aqi,aqi_category
8860145a2bfffff,86.87594191320264,130.08882627223835,90.23512917310673,90.24092065840078,121.30891547143274,189.5864730440088,Moderate
88618925ddfffff,75.59271418866344,115.56860961455624,98.04036507537263,84.01142707693691,90.98663415913667,151.97571396221144,Moderate
8860145b51fffff,70.23938006932988,126.83393721045509,86.81058973295595,93.23526202496966,110.67642179077085,134.1312668977663,Moderate
886189258bfffff,89.25076828103631,146.17212522527095,119.15389218630307,98.27641242692891,83.46725063036098,197.50256093678772,Moderate
8860145a3dfffff,86.87408757685533,130.09248303943292,90.24861233207632,90.24745747448772,121.28899101810045,189.5802919228511,Moderate
88618925c9fffff,73.74898778458984,152.3978602542075,103.17862611330715,102.89583229785171,90.697998642577,145.82995928196615,Moderate
8861892587fffff,86.07798213515083,141.52737950108613,115.07691033914962,97.24241335962095,87.70852518806882,186.92660711716945,Moderate
8861892ee5fffff,73.87520017232364,115.73547522231904,111.45391661463154,89.6308435814686,84.28966725540799,146.25066724107882,Moderate
88618925d5fffff,81.26067966090552,129.39371132952425,109.14251206485655,91.92912770260918,90.75693442236698,170.8689322030184,Moderate
8861892cc1fffff,73.33573596883964,128.6421582778144,106.24888859857585,103.76269909533995,105.74185347889917,144.45245322946548,Moderate
8861892c81fffff,67.50315174721682,119.84285259627055,108.93599560338723,110.8692157576928,109.53840519205973,125.01050582405607,Moderate
8861892c89fffff,67.90450240535014,120.44166442050904,108.88136040677354,110.58633287557055,109.47750794378325,126.34834135116715,Moderate
8860145823fffff,69.19822411080231,130.09499876972106,97.56995180217143,98.54601024290281,93.67802271105437,130.6607470360077,Moderate
88618925d9fffff,77.32146050910583,120.65735487913948,102.90738747274975,87.72768741057548,92.62842685611668,157.73820169701946,Moderate
886014c903fffff,70.6310902858149,130.57954248113037,96.32331576993596,100.59243740295757,100.54513714826498,135.43696761938304,Moderate
8861892599fffff,84.24945175274738,119.56814886878921,121.86886383286078,92.69237253185356,101.4387193378056,180.83150584249125,Moderate
88601459c1fffff,69.24461482964479,129.3497431656451,97.55308160799575,99.38246463814217,94.05826761498264,130.81538276548264,Moderate
88618925c1fffff,75.74064827612304,137.5713237167306,102.94988210921515,95.63937682756956,91.09905892839741,152.46882758707682,Moderate
8861892c83fffff,66.84235368376235,118.97903720753668,109.18925312811041,111.74697073866868,110.09377510972234,122.80784561254119,Moderate
8861892427fffff,74.53835521687232,146.68563779999695,103.25299042464358,100.2618640098196,91.09879682112359,148.46118405624105,Moderate
8861892cc7fffff,71.75053695444522,126.01841527077237,106.91936610281866,105.32515275117014,106.33006216562346,139.16845651481742,Moderate
8861892cd7fffff,65.78239424912199,117.46750037042894,110.04983959233812,113.745635471427,111.50366176045432,119.27464749707332,Moderate
88618925b9fffff,85.76446932982022,140.4069690444009,114.51510641822657,97.00229188257988,89.11959400296291,185.88156443273405,Moderate
8861892437fffff,75.41529051360587,117.87953566311089,98.32863964659079,85.2578402372149,91.10482845626743,151.38430171201958,Moderate
8860145a21fffff,83.57068938463837,129.68297982803108,91.9395799706048,91.36921478447834,116.80641244807595,178.56896461546125,Moderate
88618924adfffff,82.8326084326138,119.83822633776951,118.52861821344592,92.19067477375822,100.77078445412425,176.10869477537932,Moderate
8860145a05fffff,84.59030204789613,129.82483788229163,93.36418669746058,91.30683751199521,116.34785267442267,181.9676734929871,Moderate
8861892583fffff,90.43182278435529,148.91082698428534,120.32187452875547,99.13505624088643,81.97359024841603,201.4394092811843,Poor
8861892c9dfffff,66.12170754227013,117.97834946867246,109.70325325763616,113.02962994767901,110.99793380258593,120.40569180756711,Moderate
8861892cd5fffff,66.56554902332309,118.55103531180104,109.63818327028442,112.60144553164331,110.77530325978533,121.88516341107696,Moderate
886189259bfffff,83.7990748428178,121.22150953479459,119.76754720931591,92.90929054341933,100.88338044696731,179.33024947605935,Moderate
886014c907fffff,70.72229383756874,130.56657208301775,96.44481724976737,100.51382316719925,100.49180503045912,135.7409794585625,Moderate
8860145827fffff,68.05410825908727,133.55805409378868,97.60222189845962,95.31577232774774,90.39172099354337,126.84702753029092,Moderate
88618925c3fffff,77.40460817439384,126.32638895962442,102.83001179076777,89.88928194671428,90.95367495491291,158.01536058131282,Moderate
8860145a07fffff,85.94211743712881,129.9781793036677,91.48815329712538,90.6794794774301,119.30017788824138,186.4737247904294,Moderate
8860145a29fffff,83.34990095632405,129.710558798268,93.27829671525268,91.62777057685942,115.31026315080554,177.83300318774684,Moderate
8860145b0bfffff,69.86243341523445,126.68096692490516,86.88480511624383,93.4802797838265,110.52705412014673,132.87477805078152,Moderate
8861892ee9fffff,74.03369992408925,117.30418376370847,110.71378682421503,90.64698735771782,86.04418261831607,146.77899974696416,Moderate
8860145835fffff,69.51121437585324,129.22090574144917,97.58401636251715,99.35419731096971,94.51145913955718,131.7040479195108,Moderate
88618924a1fffff,82.81527534871529,120.84942188883085,117.88758839189984,92.54044006964156,100.82928808414843,176.05091782905097,Moderate
8861892e33fffff,73.88312444246067,115.1535716797899,111.74727708446571,89.08260995166249,83.41491770129586,146.2770814748689,Moderate
88618924a5fffff,84.03459409624976,116.0259459642572,123.27387074273186,92.08776859801594,103.83827967331607,180.11531365416587,Moderate
886189259dfffff,88.42500665748918,142.48037309723944,119.1851869199747,97.52553266543433,86.21004401407097,194.7500221916306,Moderate
8861892e17fffff,74.00243183589885,116.61133726916576,111.05142303796754,90.08616391002266,85.1180823836911,146.6747727863295,Moderate
8861892cc3fffff,71.12501771586389,125.13098962270743,107.22299393202405,106.21503045886577,106.90927806278584,137.08339238621298,Moderate
88601459cbfffff,69.463877587918,128.9402254187373,97.56894914499667,99.71132060977163,94.55826787441215,131.54625862639335,Moderate
88601459c9fffff,69.54130844884001,127.25570028758429,97.3491739872835,101.61424825160263,95.42731007886967,131.80436149613337,Moderate
88618925cdfffff,75.09371277826008,143.840842733957,103.4497550200127,98.91167399251871,91.19495103451523,150.31237592753362,Moderate
886014c90dfffff,70.57408634194266,130.59053790442687,96.2505285206958,100.64077330255313,100.57088609765505,135.2469544731422,Moderate
8861892c8bfffff,65.31787412017044,116.82074149904763,110.45270674704871,114.61354709378035,112.06456145362525,117.72624706723482,Moderate
8861892595fffff,87.05309112478675,140.84344496590046,116.8905688364499,97.10607331783542,88.14817744853704,190.17697041595582,Moderate
8860145919fffff,67.46983551904016,136.55887773345586,97.87015394963659,92.20428222832932,88.2865454849284,124.89945173013388,Moderate
8860145825fffff,67.27085022990346,136.90244910510148,97.74626993465951,91.96115005545605,87.75604768181537,124.60163273673432,Moderate
8860145b57fffff,69.16029376761357,126.41523090748346,85.10108741985972,93.07775753387999,111.51094148440404,130.5343125587119,Moderate
8861892cc5fffff,72.69613319224395,127.33249354887501,106.50406050977894,104.03095819940528,105.50732328050718,142.32044397414649,Moderate
8861892ee1fffff,73.92312624250056,116.82458995250573,110.91682113916936,90.4986056651953,85.72839859141885,146.4104208083352,Moderate
8861892581fffff,87.62913936892984,144.0337025347644,117.0818736412835,97.70038153993747,85.13759266958272,192.09713122976615,Moderate
8861892423fffff,74.55207477806925,145.3007509583057,102.98385032071704,99.5294437331559,91.11354488172104,148.50691592689753,Moderate
