h3_id,lst_day,lst_night,heat_island_index,temperature_anomaly,centroid_x,centroid_y,ward_id
8860145b61fffff,35.595,26.027,7.294,-0.246,1447256.8029696136,14155359.98247065,
8860145b03fffff,34.879,27.366,6.486,-0.37,1446434.5720491013,14140034.142064624,
8860145b5dfffff,34.62,26.629,5.932,0.084,1443931.7360232354,14146374.698643284,
88618925b3fffff,32.489,24.92,3.595,0.502,1442266.1367055778,14146244.903302146,
88618925c3fffff,34.526,29.0,5.203,0.172,1438921.0948182694,14163443.749519836,
8860145a25fffff,33.785,25.336,5.098,0.069,1443941.020567882,14133312.9949718,
8860145b11fffff,32.363,25.064,3.874,0.137,1445606.3515289929,14133441.87610969,
8861892eddfffff,31.586,28.372,2.896,-0.554,1443909.0059558144,14176968.478301423,
8861892eb7fffff,33.298,26.598,5.176,-0.612,1448916.4601854316,14164230.044583568,
88618925b9fffff,34.71,26.539,5.711,-0.556,1441428.4036781394,14152721.365911078,
8861892ed1fffff,35.919,25.127,7.228,-0.333,1443912.3445665345,14172587.912830368,
8860145b69fffff,31.566,25.561,3.171,0.139,1446422.4175825971,14157478.17076419,
8860145a23fffff,32.598,26.393,3.81,-0.086,1443112.9405845134,14126729.110688027,
8861892595fffff,35.329,26.713,6.224,-0.598,1440597.1917594718,14150475.039933125,
8860145b6dfffff,33.004,26.408,4.702,0.666,1447253.7423605996,14159727.801035589,
8860145a6dfffff,33.91,25.625,4.912,-0.257,1441434.9494246787,14144001.22115515,
8861892e83fffff,34.977,27.672,6.581,0.301,1446412.9813777565,14170596.181843573,
8860145a67fffff,33.581,24.601,4.689,-0.092,1442272.5131006013,14137534.407353088,
8861892587fffff,31.965,26.714,2.965,0.078,1441425.0851788477,14157086.4276644,
8860145a6bfffff,33.389,27.342,4.285,0.059,1440607.0363471708,14137405.2476838,
8861892eb9fffff,32.845,26.528,4.542,0.801,1447247.529540926,14168473.452311188,
886189259bfffff,33.242,25.859,3.921,0.189,1438934.837171071,14145985.359266246,
8860145b19fffff,31.085,25.453,2.498,0.22,1444772.1814440645,14135552.39097337,
8861892597fffff,33.93,26.791,4.825,0.079,1440600.5036794348,14146115.123510737,
8861892eb1fffff,30.685,26.147,2.474,0.9,1448082.0224887894,14166351.406701744,
8861892e8bfffff,32.223,24.899,3.731,0.369,1445578.3780352145,14172719.595730992,
8860145b01fffff,33.868,25.566,5.474,-0.385,1446431.579172175,14144390.164800411,
88618925c7fffff,36.441,26.766,7.226,1.285,1439752.3558767757,14165695.379423736,
8860145b4bfffff,33.81,27.816,5.121,0.674,1443928.5802869566,14150735.23661561,
88618925d7fffff,34.372,26.501,5.05,0.198,1438928.026759087,14154707.895467877,
8860145b1bfffff,33.527,26.089,4.94,1.076,1444775.1915514849,14131203.303187225,
8860145b0dfffff,35.429,27.508,7.035,0.187,1446428.555807739,14148749.507377582,
8860145b29fffff,34.048,25.399,5.839,-0.169,1448094.1089065175,14148879.497001007,
8861892edbfffff,32.46,26.695,3.668,0.214,1443080.9924339813,14170333.129323095,
8860145a47fffff,32.86,23.455,3.648,0.628,1439775.9191267143,14135165.353032164,
8860145b39fffff,35.887,25.483,7.588,-0.663,1447268.7402637098,14137921.979144817,
8860145b2dfffff,35.316,26.181,7.196,-0.141,1448925.4079655018,14151125.648620257,
8861892eb3fffff,34.175,26.548,5.965,0.247,1448085.0899087905,14161978.425382089,
8861892ed7fffff,33.771,25.338,5.181,-0.037,1444747.003943288,14170464.64768484,
8860145b3bfffff,34.853,25.978,6.553,-0.407,1447271.6483439633,14133570.772671605,
8860145a63fffff,34.814,25.61,5.817,-0.039,1441441.3735577855,14135294.350239433,
8860145a4dfffff,34.23,27.574,4.909,0.843,1438938.1968246754,14141629.073652713,
8860145a0dfffff,31.591,27.328,2.488,-0.756,1440610.257111726,14133055.27895693,
88618925b7fffff,32.968,25.969,4.178,0.428,1443097.3470068981,14148489.574864157,
88618925a1fffff,34.494,27.964,5.703,-0.042,1443087.6256498229,14161585.699224617,
8860145b1dfffff,33.09,25.81,4.601,-0.307,1445603.3652850299,14137792.7730808,
8860145b55fffff,32.533,26.084,3.945,0.34,1444766.0698929809,14144260.501387583,
8860145a27fffff,33.327,25.152,4.64,0.136,1443944.0545561062,14128965.714969326,
88618925e1fffff,34.231,26.923,5.23,0.063,1441414.9470762336,14170201.62675548,
8860145b43fffff,34.822,25.635,6.234,0.307,1444762.9684324628,14148619.533332909,
8860145b59fffff,33.086,26.889,4.296,-0.09,1443100.5265684128,14144130.853506768,
8861892e99fffff,28.817,25.742,0.228,0.861,1444750.2578273828,14166088.948535647,
8860145b57fffff,35.553,26.586,6.966,-0.67,1444769.1408940393,14139904.78882227,
8860145b31fffff,31.755,23.983,3.547,-0.076,1448102.853188195,14135810.493485134,
8861892e91fffff,34.011,25.969,5.52,0.42,1445584.8078486465,14163967.88330922,
88618925bbfffff,33.939,28.121,4.94,0.059,1441431.6917572848,14148359.631968522,
8860145b13fffff,30.862,24.397,2.373,-0.151,1445609.307320559,14129094.287107684,
8860145b53fffff,33.147,24.778,4.46,0.563,1443937.9561552787,14137663.582484493,
8860145a05fffff,30.252,25.538,1.255,-0.435,1441444.5400403,14130945.880823744,
8861892ed9fffff,31.272,27.146,2.48,1.091,1443077.630107537,14174711.862668043,
8860145a45fffff,33.429,24.979,4.218,0.338,1439772.644090823,14139516.822013127,
88618925abfffff,32.515,27.55,3.621,0.263,1442256.3439301567,14159335.566615464,
8860145b09fffff,35.91,26.258,7.42,-0.727,1445597.3014061686,14146504.509536969,
8860145a61fffff,36.95,27.892,7.953,0.336,1441438.1766887119,14139646.128799332,
8861892593fffff,35.188,25.713,5.976,-0.264,1439769.3386880106,14143871.60432991,
8861892585fffff,32.561,28.145,3.561,0.059,1441421.7362510222,14161454.821920112,
8861892e95fffff,30.885,24.504,2.489,0.192,1446416.157306222,14166220.169740977,
8860145b15fffff,29.548,26.252,1.155,0.024,1446437.5344469596,14135681.434505627,
8861892ebbfffff,31.239,24.393,2.937,0.962,1447250.6512205144,14164098.956079043,
88618925b1fffff,34.864,27.89,5.97,0.286,1442262.902879889,14150605.130477523,
8861892ed5fffff,30.683,25.765,2.093,1.077,1444743.7195492473,14174843.694405962,
8861892e97fffff,34.261,26.852,5.866,0.967,1446419.3027050276,14161847.500952756,
886189258bfffff,32.212,25.393,2.999,-0.915,1439759.2401942115,14156955.877951683,
8861892cd9fffff,31.901,27.906,3.779,0.346,1448919.4733351395,14159858.577219356,
8860145b17fffff,32.339,25.207,3.946,0.542,1446440.4663741915,14131332.037468806,
886014584dfffff,34.924,27.177,6.338,0.461,1444778.1712247347,14126857.520820096,
8861892581fffff,32.676,27.877,3.57,-0.185,1440590.47670542,14159204.85317633,
8860145b41fffff,35.318,25.34,6.729,-0.048,1444759.8365040617,14152981.889331793,
8860145b35fffff,30.733,22.583,2.613,-0.358,1448934.0808652008,14138051.200679347,
88618925a9fffff,33.395,27.699,4.501,0.457,1442253.0187893233,14163705.78496226,
8860145b49fffff,34.103,26.743,5.414,0.646,1443925.3940926215,14155099.100750651,
8860145b63fffff,31.928,27.678,3.627,-0.099,1447259.8330559905,14150995.495684145,
8860145b23fffff,34.295,25.023,6.175,-0.589,1448931.2204268044,14142406.030236645,
8861892599fffff,34.003,27.558,4.681,0.293,1438931.447151999,14150344.96497959,
8861892583fffff,37.359,25.631,8.254,0.792,1440593.8494375932,14154838.281592952,
8861892591fffff,33.84,26.006,4.627,-0.213,1439766.0029098918,14148229.70464318,
8860145b21fffff,33.167,24.059,5.047,0.376,1448928.3294630588,14146764.177993275,
8860145b0bfffff,34.511,26.085,6.021,-0.613,1445600.3485802333,14142146.982670188,
88618925e3fffff,36.086,27.103,7.085,0.238,1441418.3568862784,14165826.553379886,
8861892cdbfffff,29.52,25.435,1.399,-0.934,1448922.455925681,14155490.446798613,
8860145b51fffff,34.189,26.181,5.502,-0.593,1443934.8613098694,14142017.482155606,
886189259dfffff,35.639,26.027,6.426,0.326,1439762.6367480839,14152591.127623564,
8860145b6bfffff,35.232,25.787,6.837,0.565,1446425.501947358,14153112.17447066,
8861892e9bfffff,34.303,25.781,5.714,0.602,1444753.4812099359,14161716.592234548,
