h3_id,lst_day,lst_night,heat_island_index,temperature_anomaly,centroid_x,centroid_y,ward_id
8860145b59fffff,31.767,24.344,2.977,-0.988,1443100.5265684128,14144130.853506768,
8861892e99fffff,30.701,24.656,2.112,0.731,1444750.2578273828,14166088.948535647,
8860145b57fffff,32.045,25.446,3.457,0.452,1444769.1408940393,14139904.78882227,
8860145b31fffff,29.719,23.697,1.51,0.383,1448102.853188195,14135810.493485134,
8861892e91fffff,32.095,26.12,3.603,-0.441,1445584.8078486465,14163967.88330922,
88618925bbfffff,31.674,26.336,2.676,0.816,1441431.6917572848,14148359.631968522,
8860145b13fffff,33.242,25.407,4.753,0.485,1445609.307320559,14129094.287107684,
8860145b53fffff,31.596,26.816,2.909,-0.243,1443937.9561552787,14137663.582484493,
8860145a05fffff,31.542,24.269,2.545,-0.125,1441444.5400403,14130945.880823744,
8861892ed9fffff,30.84,26.744,2.048,-0.299,1443077.630107537,14174711.862668043,
8860145a45fffff,33.67,24.907,4.458,0.285,1439772.644090823,14139516.822013127,
88618925abfffff,32.747,26.428,3.853,-1.211,1442256.3439301567,14159335.566615464,
8860145b09fffff,31.621,25.591,3.131,0.574,1445597.3014061686,14146504.509536969,
8860145a61fffff,29.751,25.617,0.754,0.066,1441438.1766887119,14139646.128799332,
8861892593fffff,33.193,26.469,3.981,0.759,1439769.3386880106,14143871.60432991,
8861892585fffff,33.574,26.269,4.574,0.395,1441421.7362510222,14161454.821920112,
8861892e95fffff,29.824,24.34,1.429,0.221,1446416.157306222,14166220.169740977,
8860145b15fffff,30.169,24.865,1.776,-0.016,1446437.5344469596,14135681.434505627,
8861892ebbfffff,30.085,25.944,1.783,0.555,1447250.6512205144,14164098.956079043,
88618925b1fffff,34.114,26.451,5.22,-0.448,1442262.902879889,14150605.130477523,
8861892ed5fffff,33.61,25.877,5.02,0.218,1444743.7195492473,14174843.694405962,
8861892e97fffff,31.815,24.866,3.419,-0.207,1446419.3027050276,14161847.500952756,
886189258bfffff,34.061,24.266,4.848,-0.458,1439759.2401942115,14156955.877951683,
8861892cd9fffff,30.034,24.533,1.913,-0.14,1448919.4733351395,14159858.577219356,
8860145b17fffff,31.774,23.393,3.381,0.483,1446440.4663741915,14131332.037468806,
886014584dfffff,32.244,24.563,3.658,-0.18,1444778.1712247347,14126857.520820096,
8861892581fffff,31.616,25.212,2.51,-0.715,1440590.47670542,14159204.85317633,
8860145b41fffff,31.213,24.777,2.624,0.639,1444759.8365040617,14152981.889331793,
8860145b35fffff,29.795,24.824,1.675,-0.301,1448934.0808652008,14138051.200679347,
88618925a9fffff,34.914,25.022,6.02,0.429,1442253.0187893233,14163705.78496226,
8860145b49fffff,32.303,23.503,3.615,0.598,1443925.3940926215,14155099.100750651,
8860145b63fffff,29.762,25.207,1.462,0.108,1447259.8330559905,14150995.495684145,
8860145b23fffff,32.974,23.584,4.854,0.949,1448931.2204268044,14142406.030236645,
8861892599fffff,30.218,24.769,0.897,0.327,1438931.447151999,14150344.96497959,
8861892583fffff,34.775,27.293,5.67,-0.134,1440593.8494375932,14154838.281592952,
8861892591fffff,31.885,24.711,2.672,-0.349,1439766.0029098918,14148229.70464318,
8860145b21fffff,32.828,26.213,4.708,-0.135,1448928.3294630588,14146764.177993275,
8860145b0bfffff,33.201,25.623,4.712,0.29,1445600.3485802333,14142146.982670188,
88618925e3fffff,32.174,25.503,3.174,0.385,1441418.3568862784,14165826.553379886,
8861892cdbfffff,32.217,24.499,4.096,0.084,1448922.455925681,14155490.446798613,
8860145b51fffff,31.238,24.889,2.551,-0.629,1443934.8613098694,14142017.482155606,
886189259dfffff,32.958,24.633,3.745,-0.245,1439762.6367480839,14152591.127623564,
8860145b6bfffff,32.948,22.986,4.554,-0.169,1446425.501947358,14153112.17447066,
8861892e9bfffff,32.102,25.373,3.513,-0.428,1444753.4812099359,14161716.592234548,
