h3_id,income_lower_pct,income_middle_pct,income_upper_pct,rental_prices,property_values,slum_population_percentage,housing_type,ward_id
8861892c0bfffff,0.173,0.49,0.337,32213.84,117398.71,0.067,apartment,
8860145a5dfffff,0.098,0.61,0.292,34929.05,124959.16,0.097,apartment,
8861892ec3fffff,0.067,0.599,0.334,36312.16,132842.59,0.0,apartment,
8860145a53fffff,0.148,0.564,0.288,34732.3,122753.58,0.141,apartment,
8860145b03fffff,0.089,0.597,0.314,37174.16,135361.71,0.038,apartment,
8861892cc5fffff,0.05,0.679,0.271,34111.17,121633.77,0.075,apartment,
8861892c89fffff,0.16,0.522,0.318,34905.28,127834.76,0.044,apartment,
8861892e1bfffff,0.123,0.551,0.326,33417.71,120797.71,0.043,apartment,
88618924bdfffff,0.12,0.609,0.27,36347.56,124873.18,0.0,apartment,
88601459c3fffff,0.155,0.571,0.274,30045.46,109649.3,0.077,apartment,
8861892c59fffff,0.102,0.621,0.278,32859.68,121174.25,0.052,apartment,
8861892cd7fffff,0.05,0.616,0.334,35026.93,130436.9,0.0,apartment,
8860145967fffff,0.114,0.614,0.272,31360.04,115806.34,0.09,apartment,
8861892c33fffff,0.196,0.509,0.295,31504.96,111219.32,0.058,apartment,
8860145a15fffff,0.05,0.616,0.334,34811.29,126351.85,0.029,apartment,
8861892535fffff,0.05,0.66,0.29,36320.22,132848.99,0.0,apartment,
8860169643fffff,0.177,0.584,0.239,29266.35,111921.24,0.088,apartment,
886189256bfffff,0.105,0.597,0.298,33183.42,113332.27,0.063,apartment,
8861892cb3fffff,0.074,0.681,0.245,31612.09,112338.67,0.17,apartment,
886189253dfffff,0.174,0.484,0.342,34311.16,127068.57,0.086,apartment,
8861892e99fffff,0.05,0.638,0.312,37372.82,141021.61,0.0,apartment,
88618925c5fffff,0.05,0.603,0.347,36385.37,130647.08,0.0,apartment,
8860145861fffff,0.056,0.559,0.386,35363.32,130487.3,0.109,apartment,
8861892ec7fffff,0.05,0.589,0.361,35105.07,130287.16,0.066,apartment,
8860145919fffff,0.11,0.591,0.299,32472.68,121507.73,0.004,apartment,
8860145831fffff,0.138,0.535,0.327,30817.82,116631.71,0.039,apartment,
8860145a2dfffff,0.05,0.6,0.35,37278.6,131603.33,0.0,apartment,
8860145851fffff,0.092,0.636,0.272,33139.77,124131.42,0.019,apartment,
8860145a65fffff,0.05,0.577,0.373,36850.74,136625.89,0.0,apartment,
8860145ae3fffff,0.144,0.567,0.289,31803.64,112268.79,0.042,apartment,
8861892e03fffff,0.13,0.59,0.281,31580.75,115516.95,0.039,apartment,
88618925dbfffff,0.062,0.605,0.333,35287.48,128812.72,0.083,apartment,
8860145ac3fffff,0.134,0.636,0.23,30613.71,109149.41,0.03,apartment,
8860145845fffff,0.05,0.662,0.288,35754.51,130490.06,0.073,apartment,
8860145827fffff,0.137,0.551,0.311,32026.59,114548.15,0.079,apartment,
88601696ddfffff,0.154,0.591,0.255,27626.71,100809.2,0.077,apartment,
88601459d1fffff,0.206,0.55,0.245,28449.05,101779.82,0.029,apartment,
886016961dfffff,0.188,0.584,0.227,28527.49,107401.25,0.02,apartment,
8861892567fffff,0.14,0.556,0.304,33329.17,116771.35,0.022,apartment,
8860145b39fffff,0.05,0.655,0.295,36751.18,135402.55,0.109,apartment,
886014593bfffff,0.126,0.634,0.24,30314.6,112981.57,0.058,apartment,
8861892e15fffff,0.095,0.562,0.343,32336.85,119398.59,0.125,apartment,
8860145a41fffff,0.05,0.626,0.324,35429.68,133019.29,0.005,apartment,
8860145a69fffff,0.05,0.618,0.332,37319.19,136421.17,0.0,apartment,
8861892545fffff,0.066,0.666,0.268,32060.7,113413.85,0.0,apartment,
8860145869fffff,0.05,0.655,0.295,35664.83,131341.46,0.0,apartment,
8861892e37fffff,0.064,0.647,0.288,31373.37,119851.57,0.01,apartment,
8861892491fffff,0.147,0.556,0.298,32124.1,117871.96,0.069,apartment,
8861892cd1fffff,0.062,0.586,0.352,35320.48,132387.42,0.0,apartment,
88601458edfffff,0.196,0.549,0.254,30867.21,106694.18,0.043,apartment,
8860145859fffff,0.115,0.61,0.275,34214.23,123668.18,0.043,apartment,
886014594dfffff,0.05,0.649,0.301,34832.58,127465.64,0.149,apartment,
8860145933fffff,0.184,0.515,0.301,29831.4,106557.18,0.085,apartment,
8860169653fffff,0.199,0.564,0.237,29630.58,106123.89,0.063,apartment,
88601458e5fffff,0.245,0.455,0.3,29743.94,106686.28,0.14,apartment,
8860145903fffff,0.11,0.536,0.354,32787.0,115554.02,0.0,apartment,
8861892c91fffff,0.112,0.592,0.296,34943.4,129937.9,0.0,apartment,
8861892ea1fffff,0.051,0.67,0.279,34979.24,125223.86,0.032,apartment,
886014585dfffff,0.05,0.645,0.305,33952.28,120142.61,0.075,apartment,
8861892e53fffff,0.126,0.551,0.323,32650.88,115950.99,0.071,apartment,
8860145b61fffff,0.05,0.56,0.39,37433.94,132953.1,0.046,apartment,
88618924e1fffff,0.05,0.633,0.317,35333.69,127351.59,0.017,apartment,
88618924bbfffff,0.104,0.576,0.32,33999.55,120821.91,0.103,apartment,
8861892495fffff,0.169,0.508,0.323,32499.97,120321.52,0.0,apartment,
886014584dfffff,0.05,0.629,0.321,34990.53,130060.83,0.122,apartment,
8860145a2bfffff,0.05,0.678,0.272,36040.26,135614.99,0.065,apartment,
8861892dd1fffff,0.21,0.495,0.295,29820.9,108857.29,0.041,apartment,
8861892c19fffff,0.095,0.526,0.379,32914.65,120662.98,0.057,apartment,
8861892cc1fffff,0.05,0.61,0.34,33997.36,130638.58,0.041,apartment,
8861892c53fffff,0.095,0.603,0.302,33801.83,122933.01,0.117,apartment,
8861892c9bfffff,0.05,0.609,0.341,34772.59,129713.43,0.0,apartment,
8860145aa1fffff,0.16,0.577,0.262,32212.74,113197.08,0.107,apartment,
8860169649fffff,0.062,0.688,0.25,30663.13,111528.89,0.01,apartment,
8861892ee1fffff,0.073,0.6,0.327,34721.7,123856.34,0.068,apartment,
8860145aa9fffff,0.059,0.612,0.328,31945.95,117342.76,0.034,apartment,
8861892ea5fffff,0.137,0.541,0.322,33870.7,125296.9,0.013,apartment,
8861892523fffff,0.05,0.64,0.31,34361.82,127382.38,0.077,apartment,
8861892547fffff,0.109,0.53,0.361,31893.82,117889.49,0.191,apartment,
8861892ce5fffff,0.146,0.573,0.282,31686.08,110127.65,0.073,apartment,
8860145943fffff,0.152,0.578,0.27,33139.53,126991.13,0.0,apartment,
8860145b57fffff,0.052,0.575,0.373,38021.35,138789.37,0.0,apartment,
886014512bfffff,0.079,0.641,0.28,31514.85,115475.18,0.0,apartment,
8860145867fffff,0.051,0.648,0.301,34072.12,124759.05,0.065,apartment,
8861892c09fffff,0.125,0.548,0.327,31384.1,112200.44,0.005,apartment,
8860145163fffff,0.102,0.614,0.284,31533.13,114521.26,0.0,apartment,
8861892e1dfffff,0.147,0.547,0.307,32241.94,117492.09,0.0,apartment,
88618924e5fffff,0.112,0.584,0.304,35529.83,128395.2,0.084,apartment,
8860145a19fffff,0.151,0.537,0.312,32940.48,122631.4,0.062,apartment,
8861892ebdfffff,0.05,0.612,0.338,36597.41,129816.25,0.0,apartment,
886189241bfffff,0.136,0.606,0.258,31417.79,114168.1,0.089,apartment,
8860145811fffff,0.149,0.584,0.267,32126.19,113636.33,0.012,apartment,
8860145a47fffff,0.05,0.585,0.365,35737.75,131587.0,0.053,apartment,
8861892501fffff,0.101,0.558,0.341,33866.96,124673.36,0.141,apartment,
8861892e11fffff,0.125,0.551,0.324,32717.3,121642.48,0.005,apartment,
8861892ce1fffff,0.221,0.434,0.345,32540.04,120882.21,0.03,apartment,
8860145a6bfffff,0.05,0.605,0.345,36696.19,136993.23,0.014,apartment,
8861892539fffff,0.117,0.567,0.316,35592.65,129129.44,0.055,apartment,
8860145addfffff,0.107,0.622,0.272,30528.38,106200.14,0.062,apartment,
8861892cb5fffff,0.166,0.491,0.342,31495.21,109968.22,0.072,apartment,
88618925cdfffff,0.05,0.67,0.28,35645.71,130446.06,0.069,apartment,
8860145b17fffff,0.053,0.615,0.331,36930.43,135670.27,0.095,apartment,
88618925c1fffff,0.05,0.611,0.339,35955.26,129586.77,0.0,apartment,
8860145a21fffff,0.05,0.638,0.312,36867.39,133602.07,0.057,apartment,
8861892c1dfffff,0.106,0.605,0.289,32660.12,115850.04,0.021,apartment,
8861892c8bfffff,0.089,0.555,0.356,34447.79,127545.88,0.093,apartment,
886014582bfffff,0.05,0.694,0.256,33661.48,119713.42,0.064,apartment,
8860145815fffff,0.115,0.617,0.268,31480.71,116401.04,0.092,apartment,
8861892ecdfffff,0.073,0.615,0.312,34949.0,123502.85,0.176,apartment,
88618924b5fffff,0.092,0.579,0.329,35444.89,127374.33,0.122,apartment,
8861892e3bfffff,0.05,0.631,0.319,32339.08,118043.95,0.09,apartment,
8861892eb9fffff,0.057,0.609,0.333,36205.05,134952.61,0.0,apartment,
8860145a25fffff,0.05,0.634,0.316,37844.87,138746.49,0.072,apartment,
8861892563fffff,0.053,0.653,0.293,32192.77,117753.48,0.106,apartment,
8860145a51fffff,0.074,0.61,0.316,34074.86,123258.91,0.036,apartment,
8860145a05fffff,0.05,0.63,0.32,36623.93,134191.49,0.0,apartment,
8861892c23fffff,0.167,0.547,0.285,29645.23,104815.03,0.116,apartment,
8861892529fffff,0.06,0.6,0.339,33162.58,124745.88,0.052,apartment,
8861892405fffff,0.12,0.595,0.285,33001.81,118805.91,0.0,apartment,
886014583dfffff,0.177,0.568,0.256,32203.51,119138.3,0.092,apartment,
8860145105fffff,0.143,0.534,0.323,30466.69,110867.54,0.087,apartment,
8861892561fffff,0.153,0.485,0.362,31472.33,115513.75,0.102,apartment,
8861892ed5fffff,0.05,0.622,0.328,36183.72,132480.24,0.023,apartment,
8861892519fffff,0.155,0.532,0.313,34768.9,124492.47,0.03,apartment,
8861892eadfffff,0.132,0.546,0.322,34986.14,123994.76,0.0,apartment,
8860145969fffff,0.05,0.694,0.256,33913.07,120774.73,0.117,apartment,
8861892581fffff,0.05,0.625,0.325,37531.8,138884.33,0.017,apartment,
88601459cbfffff,0.169,0.572,0.259,31285.44,113143.14,0.099,apartment,
8861892e95fffff,0.05,0.62,0.33,36944.81,134613.84,0.0,apartment,
8860145961fffff,0.089,0.629,0.282,33766.03,118129.14,0.008,apartment,
8861892417fffff,0.095,0.562,0.343,33639.31,122871.07,0.188,apartment,
8861892ca1fffff,0.113,0.647,0.24,31687.94,115759.75,0.1,apartment,
886014516bfffff,0.215,0.531,0.254,31192.31,112000.47,0.102,apartment,
886014512dfffff,0.131,0.583,0.286,34336.56,124107.34,0.123,apartment,
8860145905fffff,0.152,0.591,0.257,32234.2,121758.41,0.044,apartment,
8860145927fffff,0.255,0.449,0.296,29341.64,107477.7,0.102,apartment,
8861892493fffff,0.129,0.603,0.268,31354.14,110811.02,0.072,apartment,
8861892edbfffff,0.133,0.545,0.322,36954.83,134371.66,0.0,apartment,
8861892425fffff,0.099,0.593,0.308,34252.72,124396.6,0.038,apartment,
8860169651fffff,0.121,0.591,0.288,30245.52,110332.77,0.015,apartment,
8861892c8dfffff,0.153,0.603,0.244,34428.29,122966.18,0.074,apartment,
8861892505fffff,0.06,0.649,0.292,33719.94,121796.05,0.061,apartment,
8860145137fffff,0.131,0.631,0.238,29345.22,108917.47,0.077,apartment,
88601458ebfffff,0.111,0.673,0.216,28436.89,101705.19,0.105,apartment,
8860145839fffff,0.071,0.626,0.302,31684.87,117172.64,0.163,apartment,
8860145b55fffff,0.067,0.63,0.303,37852.45,137984.2,0.024,apartment,
8860145b13fffff,0.05,0.563,0.387,35947.46,137668.97,0.0,apartment,
8860145a27fffff,0.05,0.561,0.389,36097.15,132827.68,0.023,apartment,
8861892515fffff,0.05,0.613,0.337,34801.4,131583.55,0.105,apartment,
8860145a59fffff,0.101,0.583,0.316,34435.07,125650.05,0.059,apartment,
886014584bfffff,0.05,0.572,0.378,35608.47,128841.64,0.047,apartment,
8860145b27fffff,0.083,0.591,0.326,36436.15,128786.17,0.0,apartment,
886014586bfffff,0.05,0.6,0.35,35348.8,128303.79,0.013,apartment,
8860145a63fffff,0.104,0.503,0.393,36456.93,132651.33,0.08,apartment,
886014598bfffff,0.243,0.497,0.261,27502.83,96466.2,0.049,apartment,
88601696c7fffff,0.256,0.472,0.271,26961.05,97740.17,0.125,apartment,
88601459c1fffff,0.148,0.598,0.254,30958.97,111376.65,0.149,apartment,
8861892c13fffff,0.066,0.658,0.276,33588.09,122294.29,0.0,apartment,
8861892555fffff,0.159,0.519,0.322,33378.44,121115.19,0.04,apartment,
886189252dfffff,0.163,0.559,0.278,32875.62,121862.86,0.053,apartment,
8861892ee7fffff,0.05,0.649,0.301,34179.49,129779.06,0.043,apartment,
8860145b67fffff,0.062,0.595,0.344,36693.71,135194.54,0.001,apartment,
8861892c83fffff,0.091,0.613,0.295,33838.83,122715.67,0.0,apartment,
8861892e87fffff,0.109,0.53,0.362,36592.26,131133.57,0.041,apartment,
8860145981fffff,0.147,0.57,0.283,28125.18,98544.89,0.075,apartment,
8861892dd9fffff,0.109,0.626,0.265,30097.67,106540.04,0.049,apartment,
8861892507fffff,0.074,0.606,0.321,34831.75,125522.94,0.053,apartment,
8860145b1bfffff,0.05,0.622,0.328,36274.36,134483.23,0.032,apartment,
88601459c9fffff,0.25,0.506,0.244,32218.95,115545.31,0.073,apartment,
8860145aebfffff,0.113,0.576,0.311,31651.51,115243.53,0.108,apartment,
8860145b2dfffff,0.112,0.536,0.352,36022.98,134761.66,0.02,apartment,
8861892551fffff,0.158,0.539,0.303,33584.91,117178.8,0.073,apartment,
8861892ebbfffff,0.05,0.63,0.32,37091.84,136903.0,0.0,apartment,
886189242bfffff,0.053,0.618,0.329,33341.58,127621.58,0.119,apartment,
8860145161fffff,0.219,0.509,0.272,31327.82,115782.95,0.02,apartment,
8861892dcbfffff,0.138,0.652,0.21,29126.09,102213.84,0.084,apartment,
8860169609fffff,0.24,0.522,0.239,29476.71,103973.8,0.132,apartment,
8860145a39fffff,0.054,0.582,0.364,34480.82,132242.51,0.0,apartment,
8860145ac5fffff,0.151,0.562,0.287,31524.42,118388.56,0.0,apartment,
8861892e5bfffff,0.142,0.617,0.242,32213.31,119139.59,0.097,apartment,
88618924a3fffff,0.109,0.607,0.284,34649.49,126238.77,0.0,apartment,
8860145807fffff,0.118,0.615,0.267,33258.38,120062.56,0.048,apartment,
88618925d9fffff,0.057,0.646,0.297,35652.59,131913.19,0.0,apartment,
8860145819fffff,0.094,0.627,0.279,32736.34,117494.53,0.075,apartment,
8861892cdbfffff,0.05,0.638,0.312,37301.38,137860.62,0.068,apartment,
886189258dfffff,0.05,0.631,0.319,36331.29,138647.39,0.0,apartment,
8860145a4dfffff,0.05,0.581,0.369,36783.78,135127.06,0.0,apartment,
8860145165fffff,0.146,0.562,0.292,33032.26,117973.4,0.066,apartment,
8861892413fffff,0.05,0.713,0.237,33036.88,116498.63,0.099,apartment,
88618924a5fffff,0.05,0.648,0.302,36105.55,132735.15,0.001,apartment,
886014590bfffff,0.121,0.605,0.274,32932.6,119077.29,0.031,apartment,
8860145923fffff,0.178,0.536,0.287,30026.93,110816.75,0.096,apartment,
88618925b3fffff,0.05,0.619,0.331,38377.99,139736.18,0.001,apartment,
8861892c1bfffff,0.05,0.649,0.301,34588.19,122510.03,0.0,apartment,
88601458c5fffff,0.21,0.576,0.214,30105.48,111147.9,0.056,apartment,
8861892433fffff,0.051,0.62,0.329,34447.16,123404.82,0.013,apartment,
8860145b3dfffff,0.05,0.591,0.359,35892.56,136879.47,0.0,apartment,
8861892ddbfffff,0.252,0.434,0.313,30885.92,108311.97,0.01,apartment,
886014595dfffff,0.091,0.591,0.318,34182.8,129091.72,0.058,apartment,
8861892485fffff,0.104,0.653,0.242,33240.78,119370.4,0.0,apartment,
8861892eb3fffff,0.066,0.585,0.349,35384.99,130374.07,0.012,apartment,
886014592bfffff,0.159,0.505,0.337,31173.76,110044.45,0.07,apartment,
88601459ddfffff,0.073,0.592,0.335,30232.84,108427.86,0.073,apartment,
8861892cd3fffff,0.05,0.632,0.318,36316.93,130278.15,0.05,apartment,
8860145aadfffff,0.133,0.528,0.339,31302.98,115796.22,0.036,apartment,
886189240dfffff,0.191,0.553,0.256,31922.42,114283.56,0.148,apartment,
8861892521fffff,0.098,0.557,0.345,33904.46,126122.38,0.0,apartment,
8860145b51fffff,0.056,0.56,0.384,37847.48,138702.67,0.02,apartment,
8861892cabfffff,0.122,0.566,0.312,31796.66,114291.21,0.114,apartment,
88618925edfffff,0.104,0.51,0.386,36438.94,133937.93,0.017,apartment,
886189251dfffff,0.05,0.625,0.325,33900.27,126196.31,0.067,apartment,
8861892c87fffff,0.093,0.607,0.3,33538.45,122183.93,0.0,apartment,
886189250dfffff,0.085,0.61,0.305,33554.91,122564.91,0.045,apartment,
8861892ed7fffff,0.062,0.599,0.339,37431.39,139613.77,0.0,apartment,
8860145b47fffff,0.05,0.624,0.326,37993.52,137852.44,0.019,apartment,
886189243bfffff,0.131,0.504,0.365,33490.41,126922.65,0.06,apartment,
88618925abfffff,0.05,0.586,0.364,37761.02,140536.85,0.118,apartment,
886016960dfffff,0.194,0.577,0.229,27837.55,99682.17,0.116,apartment,
88618924d7fffff,0.101,0.564,0.335,31138.81,114384.91,0.046,apartment,
8860145b23fffff,0.05,0.627,0.323,36067.77,133931.43,0.01,apartment,
8861892cb7fffff,0.146,0.55,0.304,31748.26,111799.5,0.0,apartment,
8860145abdfffff,0.125,0.663,0.212,28862.46,107934.12,0.086,apartment,
8860145911fffff,0.116,0.664,0.221,31572.94,118852.85,0.106,apartment,
8860145941fffff,0.099,0.58,0.321,35216.55,126680.59,0.007,apartment,
8861892eddfffff,0.078,0.589,0.333,35531.64,135813.61,0.0,apartment,
8860145167fffff,0.061,0.637,0.302,32414.18,117001.0,0.0,apartment,
8861892427fffff,0.05,0.609,0.341,35390.52,129507.85,0.025,apartment,
8860145a87fffff,0.167,0.559,0.274,29929.02,109499.38,0.051,apartment,
88618924a9fffff,0.05,0.65,0.3,34901.78,126760.79,0.0,apartment,
8860145a55fffff,0.089,0.571,0.34,34543.96,127819.19,0.136,apartment,
8861892e13fffff,0.109,0.573,0.318,34232.95,126104.59,0.0,apartment,
8860145849fffff,0.059,0.649,0.292,35734.2,127364.02,0.043,apartment,
8861892419fffff,0.117,0.635,0.247,31890.41,110127.28,0.137,apartment,
886014598dfffff,0.215,0.57,0.215,28144.38,107327.32,0.084,apartment,
8860145aa7fffff,0.149,0.593,0.258,30800.78,103090.78,0.055,apartment,
8861892e9dfffff,0.05,0.584,0.366,36744.37,135721.82,0.0,apartment,
8860145957fffff,0.086,0.571,0.343,33813.98,121708.04,0.096,apartment,
8861892439fffff,0.085,0.626,0.289,34355.01,122524.64,0.032,apartment,
8860145b35fffff,0.114,0.536,0.35,35376.6,127924.32,0.0,apartment,
8861892cddfffff,0.092,0.611,0.297,35231.65,131240.17,0.0,apartment,
8860145917fffff,0.126,0.615,0.259,30483.41,115084.41,0.016,apartment,
8860145929fffff,0.203,0.472,0.325,31895.12,113948.07,0.087,apartment,
88618920b3fffff,0.114,0.598,0.288,30586.91,112209.18,0.119,apartment,
886189255bfffff,0.068,0.643,0.289,33989.83,121616.97,0.023,apartment,
8860145acbfffff,0.14,0.652,0.208,31456.83,108916.05,0.019,apartment,
886014581bfffff,0.213,0.545,0.241,31498.04,111984.02,0.15,apartment,
8860145a85fffff,0.149,0.532,0.319,30789.44,114523.8,0.071,apartment,
8860145931fffff,0.16,0.567,0.273,29918.55,107798.68,0.035,apartment,
