_id,Sl. No,Zone,District,Taluk,Name of Sub-Station,Voltage Class (in kV),Date of commission,geometry,transformer_id,name,substation_id,phase,capacity_MVA,current_load_MVA,industrial_consumption_kwh,residential_consumption_kwh,commercial_consumption_kwh,load_shedding_events,ev_charging_load_estimate,solar_potential_kw,ward_id,h3_index,lon,lat
17,17,Bengaluru,Bangalore Urban,Anekal,Jigani/ Bannergatta,220,30-09-2011,POINT (77.46951547789558 13.084665661176),trf_17,Jigani/ Bannergatta,,3.0,0.148,0.118,179.0,662.0,117.0,1.0,104.61,717.66,ward_17,8860144b43fffff,77.46951547789558,13.084665661176
18,18,Bengaluru,Ramanagar,Kanakapura,Kanakapura,220,01-01-2008,POINT (77.73968960992237 13.042519204434939),trf_18,Kanakapura,,3.0,0.818,0.433,1850.0,5860.0,1183.0,1.0,46.44,1799.15,ward_18,8861892f6bfffff,77.73968960992237,13.042519204434939
19,19,Bengaluru,Bangalore Urban,Bangalore South,Khodays glass factory,220,30-07-2015,POINT (77.54138413075201 12.829301634201915),trf_19,Khodays glass factory,,3.0,113.275,99.665,424263.0,459000.0,511006.0,1.0,27.85,1588.05,ward_19,886014530bfffff,77.54138413075201,12.829301634201915
20,20,Bengaluru,Bangalore Rural,DB pura,KIADB  (D B Pura),220,13-07-1995,POINT (77.65526990795365 12.932045748121881),trf_20,KIADB  (D B Pura),,3.0,0.895,0.708,814.0,5196.0,1068.0,1.0,113.98,1524.92,ward_20,886189250bfffff,77.65526990795365,12.932045748121881
21,21,Bengaluru,Kolar,Kolar,Kolar,220,21-08-2009,POINT (77.48661147045344 12.94855307303338),trf_21,Kolar,,3.0,0.823,0.233,4180.0,3413.0,1569.0,1.0,45.85,1444.51,ward_21,8860145a85fffff,77.48661147045344,12.94855307303338
22,22,Bengaluru,Bengaluru Urban,Bengaluru South,Koramangala,220,Completed,POINT (77.46031655633456 13.072796120623634),trf_22,Koramangala,,3.0,0.697,0.423,1053.0,4260.0,608.0,1.0,80.17,924.01,ward_22,8860144b5dfffff,77.46031655633456,13.072796120623634
23,23,Bengaluru,Ramanagar,Magadi,Magadi,220,14-02-2017,POINT (77.52763399448001 12.998756685306194),trf_23,Magadi,,3.0,6.276,3.636,23025.0,19851.0,26273.0,1.0,139.33,1845.0,ward_23,8860145863fffff,77.52763399448001,12.998756685306194
24,24,Bengaluru,Kolar,Malur,Malur,220,22-09-1999,POINT (77.54351332282683 12.956020406353343),trf_24,Malur,,3.0,6.187,4.053,15745.0,59568.0,27748.0,1.0,22.65,1969.68,ward_24,8860145a2bfffff,77.54351332282683,12.956020406353343
25,25,Bengaluru,C B pura,Bagepalli,Mittemari,220,30-03-2019,POINT (77.61401308380299 12.855456336657658),trf_25,Mittemari,,3.0,9.288,7.917,28914.0,77290.0,17788.0,0.0,67.04,1605.71,ward_25,88618926adfffff,77.61401308380299,12.855456336657658
26,26,Bengaluru,Bangalore Urban,Bangalore South,Naganathapura,220,29-05-2009,POINT (77.74087538832937 13.032539847008334),trf_26,Naganathapura,,1.0,0.404,0.244,2230.0,2471.0,673.0,1.0,44.92,904.88,ward_26,8861892f41fffff,77.74087538832937,13.032539847008334
27,27,Bengaluru,Bangalore Urban,Bangalore South,Nimhans,220,26-02-2012,POINT (77.73184968246926 13.068448205128295),trf_27,Nimhans,,1.0,5.485,2.82,30108.0,34345.0,15286.0,1.0,132.71,356.07,ward_27,8861892f2dfffff,77.73184968246926,13.068448205128295
28,28,Bengaluru,Bangalore Urban,Bangalore North,NRS (220kV) Rajainagar,220,05-06-1998,POINT (77.62936999364332 13.076562270506935),trf_28,NRS (220kV) Rajainagar,,3.0,4.732,1.249,28303.0,35583.0,13523.0,0.0,149.99,419.81,ward_28,8861892dd1fffff,77.62936999364332,13.076562270506935
29,29,Bengaluru,Bangalore Urban,Anekal,Sarjapur,220,31-03-2009,POINT (77.47654775061558 12.858794858725744),trf_29,Sarjapur,,3.0,0.199,0.045,564.0,1609.0,63.0,1.0,104.88,881.53,ward_29,8860145023fffff,77.47654775061558,12.858794858725744
30,30,Bengaluru,Bangalore Urban,Bangalore South,Somanahalli,220,01-07-1986,POINT (77.46356818667316 12.89759909922898),trf_30,Somanahalli,,3.0,0.164,0.055,848.0,1888.0,294.0,0.0,128.8,817.47,ward_30,88601451e3fffff,77.46356818667316,12.89759909922898
31,31,Bengaluru,Bangalore Urban,Bangalore North,SRS Peenya,220,25-01-1965,POINT (77.56660318690685 12.88140470953217),trf_31,SRS Peenya,,1.0,7.444,5.168,1210.0,37203.0,8257.0,1.0,20.82,1599.83,ward_31,886189248bfffff,77.56660318690685,12.88140470953217
32,32,Bengaluru,Bangalore Urban,Bangalore South,Subramanyapura,220,02-10-1986,POINT (77.69862125274558 12.907025998008077),trf_32,Subramanyapura,,1.0,134.022,50.746,79964.0,695380.0,464638.0,2.0,133.62,409.97,ward_32,8861892729fffff,77.69862125274558,12.907025998008077
33,33,Bengaluru,Bangalore Urban,Bangalore East,Vikas Technical Park,220,06-03-2017,POINT (77.53428035290622 12.962808824947475),trf_33,Vikas Technical Park,,3.0,0.023,0.006,29.0,74.0,20.0,0.0,84.28,1785.34,ward_33,8860145a35fffff,77.53428035290622,12.962808824947475
34,34,Bengaluru,Bangalore Urban,Bangalore North,Vrushabhavathi Valley,220,04-03-2009,POINT (77.49227726749243 13.040659094226212),trf_34,Vrushabhavathi Valley,,3.0,0.267,0.129,946.0,1445.0,800.0,0.0,110.41,872.25,ward_34,8860145989fffff,77.49227726749243,13.040659094226212
35,35,Bengaluru,Bangalore Urban,Anekal,Yarandanahalli,220,24-02-1999,POINT (77.47236519310394 13.096066080980155),trf_35,Yarandanahalli,,3.0,0.766,0.234,3991.0,5658.0,3289.0,1.0,4.49,537.35,ward_35,8860144b6bfffff,77.47236519310394,13.096066080980155
36,36,Bengaluru,Bangalore Urban,Bangalore North,Yelahanka(DG Plant),220,28-12-2015,POINT (77.681673430789 12.859614704460252),trf_36,Yelahanka(DG Plant),,3.0,0.265,0.081,1328.0,3143.0,669.0,0.0,54.46,36.78,ward_36,886189275bfffff,77.681673430789,12.859614704460252
37,37,Bengaluru,Bangalore Urban,Bangalore North,A' Station,66,01-07-1920,POINT (77.45165663513708 13.04463842853645),trf_37,A' Station,,3.0,6.189,2.51,20579.0,54852.0,24649.0,0.0,2.2,273.77,ward_37,8860144a69fffff,77.45165663513708,13.04463842853645
38,38,Bengaluru,Bangalore Urban,Bangalore North,Abbigere,66,24-03-2011,POINT (77.66205720315429 13.018702150412295),trf_38,Abbigere,,3.0,0.601,0.391,2398.0,2752.0,2638.0,0.0,76.63,1037.84,ward_38,8861892c59fffff,77.66205720315429,13.018702150412295
39,39,Bengaluru,Kolar,Srinivaspur,Addagal,66,15-08-1999,POINT (77.68138110400578 12.822213395520228),trf_39,Addagal,,1.0,7.642,2.003,27656.0,39801.0,14280.0,0.0,71.13,1438.09,ward_39,886189264dfffff,77.68138110400578,12.822213395520228
40,40,Bengaluru,Bangalore Urban,Bangalore South,Adugodi,66,19-08-1964,POINT (77.55753971856328 12.83476071785754),trf_40,Adugodi,,3.0,0.481,0.336,2704.0,4614.0,496.0,0.0,52.45,1190.16,ward_40,886014536bfffff,77.55753971856328,12.83476071785754
41,41,Bengaluru,Ramanagar,Magadi,Agalakote Hulikatte,66,26-12-2007,POINT (77.70893102776267 12.986989438048267),trf_41,Agalakote Hulikatte,,1.0,0.601,0.271,2780.0,2380.0,217.0,1.0,137.68,869.65,ward_41,8861892e45fffff,77.70893102776267,12.986989438048267
42,42,Bengaluru,Ramanagar,Channapatna,Akkurmole,66,16-12-1994,POINT (77.5492694074558 12.819067505085808),trf_42,Akkurmole,,3.0,0.801,0.578,1308.0,6658.0,1388.0,0.0,183.46,273.64,ward_42,8860145343fffff,77.5492694074558,12.819067505085808
43,43,Bengaluru,Ramanagar,Kanakapura,Allimaranahalli,66,22-11-2016,POINT (77.5432946965147 12.897554996608024),trf_43,Allimaranahalli,,3.0,0.193,0.117,1011.0,1851.0,747.0,1.0,169.84,499.34,ward_43,886014516dfffff,77.5432946965147,12.897554996608024
44,44,Bengaluru,Bangalore Urban,Bangalore North,Alur,66,31-08-2017,POINT (77.66888185350142 12.991267241406565),trf_44,Alur,,3.0,0.988,0.897,234.0,9238.0,4388.0,0.0,113.59,1830.98,ward_44,8861892e17fffff,77.66888185350142,12.991267241406565
45,45,Bengaluru,Bangalore Urban,Bangalore East,Amarajyoti,66,30-03-2001,POINT (77.7161638227729 12.941664477548585),trf_45,Amarajyoti,,1.0,0.304,0.272,1771.0,3496.0,692.0,2.0,165.78,74.02,ward_45,8861892083fffff,77.7161638227729,12.941664477548585
46,46,Bengaluru,Kolar,Bangarpet,Andersonpet,66,10-07-2000,POINT (77.4858782737815 13.013973436166898),trf_46,Andersonpet,,3.0,0.129,0.033,539.0,782.0,449.0,0.0,63.06,1078.98,ward_46,88601459d9fffff,77.4858782737815,13.013973436166898
47,47,Bengaluru,Bangalore Urban,Anekal,Anekal,66,28-05-2004,POINT (77.67823551458507 12.968383159270848),trf_47,Anekal,,3.0,0.63,0.545,2328.0,3211.0,74.0,1.0,174.94,1057.87,ward_47,8861892e53fffff,77.67823551458507,12.968383159270848
48,48,Bengaluru,Bangalore Urban,Bangalore South,Anjanapura,66,29-11-2008,POINT (77.68129015398637 12.948138678909318),trf_48,Anjanapura,,3.0,0.998,0.462,4594.0,6604.0,2299.0,1.0,196.82,1536.55,ward_48,8861892561fffff,77.68129015398637,12.948138678909318
49,49,Bengaluru,Bangalore Rural,DB pura,Apparel park,66,03-11-2010,POINT (77.6068198488146 12.928262305507564),trf_49,Apparel park,,3.0,0.74,0.281,491.0,4582.0,1020.0,0.0,46.72,84.19,ward_49,88618925c3fffff,77.6068198488146,12.928262305507564
50,50,Bengaluru,Bangalore Urban,Bangalore South,Arehalli,66,04-11-1999,POINT (77.45762573802322 12.832367428097992),trf_50,Arehalli,,1.0,0.433,0.211,1766.0,2150.0,1974.0,1.0,83.52,1758.24,ward_50,8860145017fffff,77.45762573802322,12.832367428097992
51,51,Bengaluru,Bangalore Urban,Anekal,Attibele,66,27-07-2007,POINT (77.45942875570603 12.990923123379135),trf_51,Attibele,,3.0,0.617,0.201,3669.0,3137.0,2792.0,1.0,102.54,461.34,ward_51,8860145889fffff,77.45942875570603,12.990923123379135
52,52,Bengaluru,Bangalore Urban,Bangalore South,Austin Town,66,02-12-1995,POINT (77.5443067943229 12.952571207349411),trf_52,Austin Town,,1.0,0.195,0.153,410.0,687.0,907.0,3.0,79.25,1516.48,ward_52,8860145a2bfffff,77.5443067943229,12.952571207349411
53,53,Bengaluru,Kolar,Mulbagal,Avani (Kashipura),66,27-09-2007,POINT (77.72226994217783 12.874787668744663),trf_53,Avani (Kashipura),,3.0,8.342,3.073,11203.0,65341.0,23742.0,0.0,18.3,1754.92,ward_53,886189229bfffff,77.72226994217783,12.874787668744663
54,54,Bengaluru,Bangalore Urban,Bangalore East,B' Station,66,18-12-1995,POINT (77.5731148769107 13.026665341562914),trf_54,B' Station,,3.0,8.999,8.25,46550.0,92561.0,28303.0,0.0,17.4,816.91,ward_54,8860145b27fffff,77.5731148769107,13.026665341562914
55,55,Bengaluru,CB Pura,Bagepalli,Bagepalli,66,01-01-1964,POINT (77.5186394496475 12.823093972948639),trf_55,Bagepalli,,3.0,0.726,0.415,353.0,3617.0,2381.0,0.0,170.24,990.29,ward_55,886014531bfffff,77.5186394496475,12.823093972948639
56,56,Bengaluru,Bangalore Urban,Bangalore South,Bagmane Tech Park,66,22-12-2005,POINT (77.53692543587414 12.848366386176203),trf_56,Bagmane Tech Park,,3.0,0.826,0.381,3360.0,6684.0,1059.0,2.0,170.12,1734.59,ward_56,8860145307fffff,77.53692543587414,12.848366386176203
57,57,Bengaluru,Kolar,Mulbagal,Bairakur,66,07-10-2013,POINT (77.72890929570278 13.042436113869325),trf_57,Bairakur,,3.0,0.7,0.497,2598.0,6842.0,533.0,2.0,165.16,257.74,ward_57,8861892f0dfffff,77.72890929570278,13.042436113869325
58,58,Bengaluru,Bangalore Urban,Bangalore South,Banashankari,66,24-01-1987,POINT (77.64002112695313 13.061438177056315),trf_58,Banashankari,,3.0,0.169,0.137,844.0,1279.0,5.0,0.0,123.39,1962.37,ward_58,8861892c33fffff,77.64002112695313,13.061438177056315
59,59,Bengaluru,Bangalore Urban,Bangalore East,Banaswadi.,66,01-05-1989,POINT (77.69110162306974 12.85597101766581),trf_59,Banaswadi.,,3.0,0.638,0.386,2985.0,2528.0,2331.0,0.0,192.6,683.74,ward_59,8861892759fffff,77.69110162306974,12.85597101766581
60,60,Bengaluru,Kolar,Bangarpet,Bangarpet,66,01-01-1991,POINT (77.717767699547 12.961802672574695),trf_60,Bangarpet,,3.0,0.111,0.1,458.0,401.0,160.0,1.0,116.43,691.77,ward_60,88618920a3fffff,77.717767699547,12.961802672574695
61,61,Bengaluru,Bangalore Urban,Bangalore South,Bannergatta Road,66,12-03-2003,POINT (77.69223204654922 13.068827389977049),trf_61,Bannergatta Road,,3.0,8.844,8.226,51413.0,86201.0,5522.0,1.0,4.42,647.22,ward_61,8861892d59fffff,77.69223204654922,13.068827389977049
62,62,Bengaluru,Bangalore Urban,Bangalore North,"Bengaluru InternationalExhibition center (BIEC)",66,31-03-2018,POINT (77.54540104249156 12.833015577358303),trf_62,"Bengaluru InternationalExhibition center (BIEC)",,3.0,0.686,0.367,1126.0,8214.0,1403.0,0.0,32.72,1589.62,ward_62,8860145309fffff,77.54540104249156,12.833015577358303
63,63,Bengaluru,Ramanagar,Channapatna,Bevoor,66,05-08-2006,POINT (77.51838054876258 12.928132336587877),trf_63,Bevoor,,3.0,0.092,0.065,361.0,502.0,420.0,0.0,86.47,1887.23,ward_63,8860145a1bfffff,77.51838054876258,12.928132336587877
64,64,Bengaluru,Ramanagar,Ramanagara,Bidadi,66,29-10-1998,POINT (77.69540442977674 13.058219174976903),trf_64,Bidadi,,3.0,0.404,0.164,2385.0,2700.0,1734.0,0.0,42.62,62.27,ward_64,8861892f33fffff,77.69540442977674,13.058219174976903
65,65,Bengaluru,Ramanagar,Kanakapura,"Bijjahalli(Arendappanahalli)",66,26-10-2017,POINT (77.45208563915936 12.95322419077327),trf_65,"Bijjahalli(Arendappanahalli)",,3.0,0.866,0.481,5031.0,4044.0,3611.0,1.0,168.96,1522.05,ward_65,8860144365fffff,77.45208563915936,12.95322419077327
66,66,Bengaluru,Bangalore Urban,Bangalore South,BMTC,66,26-02-2004,POINT (77.57522330094463 12.86663234314122),trf_66,BMTC,,3.0,1.293,1.152,4784.0,13148.0,2989.0,0.0,25.04,1371.13,ward_66,88618924ddfffff,77.57522330094463,12.86663234314122
67,67,Bengaluru,Bangalore Urban,Anekal,Bommasandra_IA,66,25-01-2014,POINT (77.48595961020011 12.901284551421089),trf_67,Bommasandra_IA,,3.0,0.497,0.123,1735.0,2694.0,1903.0,0.0,91.04,23.24,ward_67,8860145133fffff,77.48595961020011,12.901284551421089
68,68,Bengaluru,Bangalore Urban,Bangalore North,Brigade Gateway,66,15-10-2010,POINT (77.73287291117376 12.896960879606226),trf_68,Brigade Gateway,,1.0,0.485,0.315,849.0,4489.0,2002.0,1.0,96.1,209.86,ward_68,88618922b9fffff,77.73287291117376,12.896960879606226
69,69,Bengaluru,Bangalore Urban,Bangalore North,Brindavan,66,16-11-1995,POINT (77.60563718652301 13.010905687668552),trf_69,Brindavan,,3.0,0.151,0.087,560.0,1408.0,406.0,0.0,65.29,1035.42,ward_69,8861892eb3fffff,77.60563718652301,13.010905687668552
70,70,Bengaluru,Bangalore Urban,Bangalore South,BTM 4th Phase,66,28-09-2008,POINT (77.55908888071379 13.091534624816289),trf_70,BTM 4th Phase,,1.0,0.043,0.011,102.0,180.0,117.0,1.0,40.03,334.97,ward_70,886016961dfffff,77.55908888071379,13.091534624816289
71,71,Bengaluru,Bangalore Urban,Bangalore North,Budigere,66,19-03-2009,POINT (77.73873418848264 12.87553468874761),trf_71,Budigere,,1.0,0.709,0.159,3983.0,2459.0,1842.0,2.0,160.35,678.9,ward_71,88618922d7fffff,77.73873418848264,12.87553468874761
72,72,Bengaluru,Kolar,Bangarpet,Budikote,66,29-10-2009,POINT (77.59917455176772 12.890263492945031),trf_72,Budikote,,3.0,9.053,5.529,44394.0,64013.0,27966.0,0.0,146.32,163.26,ward_72,88618924e9fffff,77.59917455176772,12.890263492945031
73,73,Bengaluru,Bangalore Urban,Bangalore North,Byadarahalli,66,31-05-2006,POINT (77.53545214831324 12.811066084206361),trf_73,Byadarahalli,,1.0,0.168,0.143,221.0,1980.0,272.0,0.0,157.94,1317.42,ward_73,8860145351fffff,77.53545214831324,12.811066084206361
74,74,Bengaluru,Bangalore Urban,Bangalore East,C' Station,66,01-08-1999,POINT (77.63286930019397 12.950803706968658),trf_74,C' Station,,3.0,0.722,0.268,4316.0,8500.0,2254.0,0.0,136.05,144.4,ward_74,88618925edfffff,77.63286930019397,12.950803706968658
75,75,Bengaluru,CB Pura,CB Pura,CB Pura  I/A,66,04-12-1998,POINT (77.465443625375 12.883593939270984),trf_75,CB Pura  I/A,,1.0,0.468,0.398,2042.0,4532.0,956.0,0.0,74.21,1975.3,ward_75,88601451c7fffff,77.465443625375,12.883593939270984
76,76,Bengaluru,CB Pura,CB Pura,CB Pura (U),66,30-08-1979,POINT (77.72247976579 12.871868567200092),trf_76,CB Pura (U),,1.0,0.583,0.308,2537.0,4303.0,2444.0,1.0,55.37,1184.7,ward_76,886189229bfffff,77.72247976579,12.871868567200092
77,77,Bengaluru,CB Pura,Bagepalli,Chakavelu,66,14-07-2003,POINT (77.49346846162737 12.94683582808327),trf_77,Chakavelu,,3.0,0.627,0.422,2758.0,2623.0,2154.0,1.0,47.51,1942.79,ward_77,8860145ae3fffff,77.49346846162737,12.94683582808327
78,78,Bengaluru,Bangalore Urban,Anekal,Chandapura,66,19-02-1983,POINT (77.74569513623318 12.872616581453451),trf_78,Chandapura,,1.0,0.497,0.192,2597.0,3483.0,1228.0,0.0,118.59,327.05,ward_78,88618922d5fffff,77.74569513623318,12.872616581453451
79,79,Bengaluru,Bangalore Urban,Bangalore North,Chandra Layout,66,07-12-1999,POINT (77.65164066422176 13.028485884598615),trf_79,Chandra Layout,,3.0,0.266,0.184,519.0,2650.0,167.0,1.0,47.21,146.99,ward_79,8861892c57fffff,77.65164066422176,13.028485884598615
80,80,Bengaluru,Ramanagar,Magadi,"Chandrappa Circle(Donnenahalli)",66,19-02-2010,POINT (77.52129126319772 13.018464904583558),trf_80,"Chandrappa Circle(Donnenahalli)",,1.0,0.344,0.283,889.0,1802.0,1019.0,1.0,33.52,73.34,ward_80,8860145821fffff,77.52129126319772,13.018464904583558
81,81,Bengaluru,Ramanagar,Channapatna,Channapatna,66,18-06-1961,POINT (77.56033493981577 12.989691749178073),trf_81,Channapatna,,3.0,0.48,0.4,2320.0,3969.0,2000.0,0.0,22.38,539.5,ward_81,8860145b1dfffff,77.56033493981577,12.989691749178073
82,82,Bengaluru,Ramanagar,Kanakapura,Chatra(Rayasandra),66,28-12-2016,POINT (77.64005891322827 12.960732405222428),trf_82,Chatra(Rayasandra),,1.0,0.937,0.215,687.0,6624.0,4200.0,0.0,101.45,83.15,ward_82,8861892537fffff,77.64005891322827,12.960732405222428
83,83,Bengaluru,CB Pura,Shidlagatta,Cheemangala,66,03-03-2003,POINT (77.47708693101633 13.050590748676772),trf_83,Cheemangala,,1.0,0.965,0.197,5511.0,8446.0,4020.0,0.0,103.12,977.69,ward_83,8860145983fffff,77.47708693101633,13.050590748676772
84,84,Bengaluru,CB Pura,Bagepalli,Chelur,66,29-03-2013,POINT (77.54623401949152 12.855955553119957),trf_84,Chelur,,3.0,1.27,0.547,5370.0,6117.0,4105.0,1.0,134.52,887.5,ward_84,8860145321fffff,77.54623401949152,12.855955553119957
85,85,Bengaluru,Ramanagar,Ramanagara,Chikkagangawadi,66,28-08-2010,POINT (77.46223254246644 12.977267882956472),trf_85,Chikkagangawadi,,3.0,7.234,5.994,41000.0,66186.0,17263.0,1.0,114.12,60.77,ward_85,88601458c3fffff,77.46223254246644,12.977267882956472
86,86,Bengaluru,Ramanagar,Kanakapura,Chikkenahalli,66,08-07-2002,POINT (77.65326930855268 12.804976348678357),trf_86,Chikkenahalli,,3.0,0.68,0.246,2688.0,4450.0,2126.0,0.0,131.57,1998.83,ward_86,886189265bfffff,77.65326930855268,12.804976348678357
87,87,Bengaluru,CB Pura,Chintamani,Chintamani,66,05-05-1987,POINT (77.60362791748979 12.867948732559382),trf_87,Chintamani,,1.0,0.413,0.352,1939.0,3347.0,1464.0,1.0,65.41,1335.19,ward_87,88618926a7fffff,77.60362791748979,12.867948732559382
88,88,Bengaluru,Bangalore Rural,Nelamangala,Dabaspet,66,31-03-2009,POINT (77.64355183712284 12.852309928701498),trf_88,Dabaspet,,3.0,0.8,0.421,3926.0,3266.0,2091.0,0.0,64.92,732.92,ward_88,8861892631fffff,77.64355183712284,12.852309928701498
89,89,Bengaluru,Kolar,Srinivaspur,Dalasanur,66,19-07-2007,POINT (77.65728132143074 12.916020603890162),trf_89,Dalasanur,,3.0,0.395,0.212,563.0,2512.0,431.0,0.0,120.69,1336.43,ward_89,8861892551fffff,77.65728132143074,12.916020603890162
90,90,Bengaluru,Ramanagar,Channapatna,Dashavara,66,14-11-2017,POINT (77.73101899662102 12.841256283243798),trf_90,Dashavara,,3.0,0.386,0.327,1202.0,2823.0,48.0,0.0,76.04,797.65,ward_90,88618935e3fffff,77.73101899662102,12.841256283243798
91,91,Bengaluru,Bangalore Rural,DB pura,D'Cross (D.B.Pura),66,19-06-1961,POINT (77.55231990531507 12.834042056372176),trf_91,D'Cross (D.B.Pura),,3.0,111.384,73.06,511175.0,1149134.0,383940.0,1.0,39.16,15.13,ward_91,886014530dfffff,77.55231990531507,12.834042056372176
92,92,Bengaluru,Bangalore Rural,Hosakote,Devanagondi/Kalkunte,66,14-12-2012,POINT (77.72740808548357 13.063201806014295),trf_92,Devanagondi/Kalkunte,,3.0,0.251,0.225,91.0,2864.0,424.0,0.0,97.17,513.55,ward_92,8861892f29fffff,77.72740808548357,13.063201806014295
93,93,Bengaluru,Bangalore Rural,Devanahalli,Devanahalli,66,01-01-1972,POINT (77.52738248831454 12.997995213810254),trf_93,Devanahalli,,3.0,0.805,0.487,1504.0,6837.0,2767.0,0.0,82.71,243.77,ward_93,8860145863fffff,77.52738248831454,12.997995213810254
94,94,Bengaluru,Bangalore Urban,Bangalore South,Devarabisanahalli,66,31-01-2007,POINT (77.69516666006037 12.966560243479838),trf_94,Devarabisanahalli,,1.0,0.19,0.113,808.0,753.0,517.0,0.0,192.59,967.09,ward_94,8861892e5dfffff,77.69516666006037,12.966560243479838
